id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
540722,2025-08-09T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 14701, 'name': 'Joshua Smith', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,387,Bristol City FC,Bristol City,BRI,https://crests.football-data.org/387.png,AWAY_TEAM,REGULAR,1.0,4.0,1.0,2.0,Activate Odds-Package in User-Panel to retrieve odds.
540733,2025-08-16T14:00:00Z,FINISHED,2,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 214210, 'name': 'Thomas Kirk', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,72,Swansea City AFC,Swansea,SWA,https://crests.football-data.org/72.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540743,2025-08-23T14:00:00Z,FINISHED,3,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 11489, 'name': 'John Busby', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,384,Millwall FC,Millwall,MIL,https://crests.football-data.org/384.png,AWAY_TEAM,REGULAR,0.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
540752,2025-08-30T11:30:00Z,FINISHED,4,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 81840, 'name': 'Lewis Smith', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,343,Middlesbrough FC,Middlesbrough,MID,https://crests.football-data.org/343.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540762,2025-09-12T19:00:00Z,FINISHED,5,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 210717, 'name': 'Farai Hallam', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,349,Ipswich Town FC,Ipswich Town,IPS,https://crests.football-data.org/349.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,HOME_TEAM,REGULAR,5.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540783,2025-09-20T14:00:00Z,FINISHED,6,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 11689, 'name': 'Ben Toner', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,348,Charlton Athletic FC,Charlton,CHA,https://crests.football-data.org/348.png,AWAY_TEAM,REGULAR,0.0,1.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540787,2025-09-27T14:00:00Z,FINISHED,7,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 213621, 'name': 'Benjamin Speedie', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,1082,Oxford United FC,Oxford United,OXF,https://crests.football-data.org/1082.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,AWAY_TEAM,REGULAR,0.0,1.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540803,2025-09-30T18:45:00Z,FINISHED,8,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 58025, 'name': 'Adam Herczeg', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,340,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png,AWAY_TEAM,REGULAR,1.0,2.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540811,2025-10-04T11:30:00Z,FINISHED,9,REGULAR_SEASON,,2025-10-06T15:21:11Z,"[{'id': 9382, 'name': 'Gavin Ward', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,322,Hull City AFC,Hull City,HUL,https://crests.football-data.org/322.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,HOME_TEAM,REGULAR,1.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
540828,2025-10-18T14:00:00Z,TIMED,10,REGULAR_SEASON,,2025-07-04T12:27:05Z,[],2072,England,ENG,https://crests.football-data.org/770.svg,2016,Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,2416,2025-08-08,2026-12-29,9,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.png,346,Watford FC,Watford,WAT,https://crests.football-data.org/346.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
