TeamId,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,AvgB365H,AvgB365D,AvgB365A,AvgB365Overall,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
3,Liverpool,2025/26,6,5,0,1,15.0,3.3333333333333335,4.558333333333334,3.9133333333333327,3.935,68.0,11.333333333333334,82.0,13.666666666666666,26.0,4.333333333333333,18.0,3.0,24.0,4.0,39.0,6.5,61.0,10.166666666666666,62.0,10.333333333333334,8.0,1.3333333333333333,15.0,2.5,1.0,0.16666666666666666,0.0,0.0
12,Arsenal,2025/26,6,4,1,1,13.0,2.316666666666667,4.2749999999999995,4.758333333333334,3.7833333333333337,85.0,14.166666666666666,53.0,8.833333333333334,26.0,4.333333333333333,16.0,2.6666666666666665,34.0,5.666666666666667,32.0,5.333333333333333,52.0,8.666666666666666,70.0,11.666666666666666,7.0,1.1666666666666667,12.0,2.0,0.0,0.0,0.0,0.0
2,Crystal Palace,2025/26,6,3,3,0,12.0,2.358333333333333,3.73,3.605,3.2311111111111113,78.0,13.0,71.0,11.833333333333334,27.0,4.5,16.0,2.6666666666666665,37.0,6.166666666666667,23.0,3.8333333333333335,63.0,10.5,58.0,9.666666666666666,12.0,2.0,16.0,2.6666666666666665,0.0,0.0,0.0,0.0
29,Sunderland,2025/26,6,3,2,1,11.0,2.541666666666667,3.483333333333333,3.4166666666666665,3.147222222222222,79.0,13.166666666666666,57.0,9.5,26.0,4.333333333333333,14.0,2.3333333333333335,30.0,5.0,26.0,4.333333333333333,63.0,10.5,49.0,8.166666666666666,10.0,1.6666666666666667,8.0,1.3333333333333333,1.0,0.16666666666666666,0.0,0.0
6,Tottenham,2025/26,6,3,2,1,11.0,1.9566666666666668,4.208333333333333,5.008333333333334,3.7244444444444444,60.0,10.0,80.0,13.333333333333334,22.0,3.6666666666666665,26.0,4.333333333333333,27.0,4.5,47.0,7.833333333333333,65.0,10.833333333333334,64.0,10.666666666666666,7.0,1.1666666666666667,13.0,2.1666666666666665,1.0,0.16666666666666666,0.0,0.0
21,Bournemouth,2025/26,6,3,2,1,11.0,2.13,4.041666666666667,4.1466666666666665,3.4394444444444443,81.0,13.5,58.0,9.666666666666666,30.0,5.0,18.0,3.0,30.0,5.0,28.0,4.666666666666667,72.0,12.0,72.0,12.0,13.0,2.1666666666666665,17.0,2.8333333333333335,0.0,0.0,1.0,0.16666666666666666
20,Man City,2025/26,6,3,1,2,10.0,2.716666666666667,4.758333333333333,5.433333333333333,4.302777777777777,77.0,12.833333333333334,65.0,10.833333333333334,31.0,5.166666666666667,19.0,3.1666666666666665,37.0,6.166666666666667,18.0,3.0,60.0,10.0,58.0,9.666666666666666,6.0,1.0,13.0,2.1666666666666665,0.0,0.0,0.0,0.0
7,Brighton,2025/26,6,2,2,2,8.0,2.5433333333333334,3.6333333333333333,2.983333333333333,3.0533333333333332,71.0,11.833333333333334,61.0,10.166666666666666,26.0,4.333333333333333,17.0,2.8333333333333335,20.0,3.3333333333333335,28.0,4.666666666666667,74.0,12.333333333333334,83.0,13.833333333333334,17.0,2.8333333333333335,19.0,3.1666666666666665,1.0,0.16666666666666666,0.0,0.0
1,Fulham,2025/26,6,2,2,2,8.0,2.1533333333333338,3.5716666666666668,3.766666666666666,3.163888888888889,64.0,10.666666666666666,57.0,9.5,24.0,4.0,18.0,3.0,26.0,4.333333333333333,34.0,5.666666666666667,80.0,13.333333333333334,83.0,13.833333333333334,12.0,2.0,13.0,2.1666666666666665,0.0,0.0,0.0,0.0
15,Chelsea,2025/26,6,2,2,2,8.0,2.811666666666667,3.9933333333333336,3.2433333333333336,3.3494444444444444,75.0,12.5,68.0,11.333333333333334,24.0,4.0,24.0,4.0,39.0,6.5,29.0,4.833333333333333,63.0,10.5,78.0,13.0,10.0,1.6666666666666667,18.0,3.0,2.0,0.3333333333333333,1.0,0.16666666666666666
9,Everton,2025/26,6,2,2,2,8.0,2.296666666666667,3.5999999999999996,3.7416666666666667,3.2127777777777777,87.0,14.5,60.0,10.0,21.0,3.5,15.0,2.5,29.0,4.833333333333333,18.0,3.0,63.0,10.5,74.0,12.333333333333334,12.0,2.0,16.0,2.6666666666666665,0.0,0.0,0.0,0.0
10,Leeds,2025/26,6,2,2,2,8.0,2.4766666666666666,3.8166666666666664,3.955,3.416111111111111,89.0,14.833333333333334,46.0,7.666666666666667,26.0,4.333333333333333,16.0,2.6666666666666665,28.0,4.666666666666667,16.0,2.6666666666666665,67.0,11.166666666666666,71.0,11.833333333333334,5.0,0.8333333333333334,10.0,1.6666666666666667,0.0,0.0,0.0,0.0
11,Man United,2025/26,6,2,1,3,7.0,2.655,3.9916666666666667,3.4583333333333335,3.3683333333333336,95.0,15.833333333333334,56.0,9.333333333333334,35.0,5.833333333333333,18.0,3.0,30.0,5.0,22.0,3.6666666666666665,66.0,11.0,70.0,11.666666666666666,5.0,0.8333333333333334,17.0,2.8333333333333335,1.0,0.16666666666666666,1.0,0.16666666666666666
22,Brentford,2025/26,6,2,1,3,7.0,3.033333333333333,3.5500000000000003,2.605,3.0627777777777783,63.0,10.5,72.0,12.0,25.0,4.166666666666667,24.0,4.0,21.0,3.5,36.0,6.0,67.0,11.166666666666666,68.0,11.333333333333334,14.0,2.3333333333333335,11.0,1.8333333333333333,0.0,0.0,0.0,0.0
14,Newcastle,2025/26,6,1,3,2,6.0,2.7533333333333334,3.725,3.141666666666667,3.206666666666667,58.0,9.666666666666666,61.0,10.166666666666666,16.0,2.6666666666666665,20.0,3.3333333333333335,37.0,6.166666666666667,30.0,5.0,65.0,10.833333333333334,77.0,12.833333333333334,9.0,1.5,11.0,1.8333333333333333,2.0,0.3333333333333333,0.0,0.0
