homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1.0,30.0,6843,12/08/2023,Arsenal,Nott'm Forest,2.0,1.0,H,2.0,0.0,H,M Oliver,15.0,6.0,7.0,2.0,12.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,1.18,7.0,15.0
14.0,1.0,6860,21/08/2023,Crystal Palace,Arsenal,0.0,1.0,A,0.0,0.0,D,D Coote,14.0,14.0,2.0,3.0,14.0,10.0,1.0,8.0,2.0,1.0,0.0,1.0,5.5,4.0,1.6
1.0,17.0,6863,26/08/2023,Arsenal,Fulham,2.0,2.0,D,0.0,1.0,A,P Tierney,19.0,8.0,11.0,3.0,6.0,5.0,8.0,3.0,0.0,3.0,0.0,1.0,1.2,7.0,13.0
1.0,26.0,6880,03/09/2023,Arsenal,Man United,3.0,1.0,H,1.0,1.0,D,A Taylor,17.0,10.0,5.0,2.0,8.0,7.0,12.0,3.0,2.0,3.0,0.0,0.0,1.75,3.8,4.5
16.0,1.0,6889,17/09/2023,Everton,Arsenal,0.0,1.0,A,0.0,0.0,D,S Hooper,8.0,13.0,1.0,4.0,12.0,10.0,1.0,11.0,1.0,1.0,0.0,0.0,6.0,4.5,1.5
1.0,39.0,6896,24/09/2023,Arsenal,Tottenham,2.0,2.0,D,1.0,1.0,D,R Jones,13.0,13.0,6.0,5.0,12.0,19.0,11.0,4.0,3.0,4.0,0.0,0.0,1.67,4.33,4.33
7.0,1.0,6902,30/09/2023,Bournemouth,Arsenal,0.0,4.0,A,0.0,2.0,A,M Salisbury,8.0,15.0,1.0,8.0,11.0,10.0,6.0,6.0,0.0,1.0,0.0,0.0,5.5,4.5,1.53
1.0,25.0,6921,08/10/2023,Arsenal,Man City,1.0,0.0,H,0.0,0.0,D,M Oliver,12.0,4.0,2.0,1.0,8.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,2.9,3.3,2.4
13.0,1.0,6928,21/10/2023,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,C Kavanagh,11.0,13.0,5.0,3.0,7.0,14.0,2.0,7.0,3.0,3.0,0.0,0.0,3.2,3.4,2.25
1.0,34.0,6934,28/10/2023,Arsenal,Sheffield United,5.0,0.0,H,1.0,0.0,H,T Robinson,13.0,2.0,8.0,0.0,9.0,13.0,6.0,1.0,0.0,3.0,0.0,0.0,1.13,8.5,19.0
