homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
27.0,4.0,765,11/08/2007,Middlesbrough,Blackburn,1.0,2.0,A,1.0,0.0,H,A Marriner,10.0,4.0,6.0,4.0,16.0,16.0,13.0,3.0,3.0,4.0,0.0,0.0,2.37,3.25,2.87
4.0,1.0,785,19/08/2007,Blackburn,Arsenal,1.0,1.0,D,0.0,1.0,A,A Wiley,9.0,10.0,4.0,3.0,19.0,15.0,5.0,4.0,4.0,4.0,1.0,0.0,3.1,3.2,2.25
16.0,4.0,793,25/08/2007,Everton,Blackburn,1.0,1.0,D,0.0,1.0,A,M Riley,12.0,11.0,8.0,7.0,20.0,18.0,5.0,7.0,0.0,2.0,0.0,0.0,2.1,3.2,3.5
4.0,25.0,807,02/09/2007,Blackburn,Man City,1.0,0.0,H,1.0,0.0,H,M Dean,16.0,7.0,11.0,3.0,23.0,3.0,6.0,3.0,5.0,1.0,1.0,1.0,2.2,3.2,3.25
13.0,4.0,809,15/09/2007,Chelsea,Blackburn,0.0,0.0,D,0.0,0.0,D,H Webb,16.0,5.0,8.0,1.0,21.0,13.0,9.0,2.0,2.0,2.0,0.0,0.0,1.36,4.33,10.0
4.0,31.0,824,23/09/2007,Blackburn,Portsmouth,0.0,1.0,A,0.0,1.0,A,C Foy,9.0,13.0,3.0,7.0,6.0,16.0,7.0,4.0,0.0,3.0,0.0,0.0,1.9,3.3,4.2
37.0,4.0,833,29/09/2007,Sunderland,Blackburn,1.0,2.0,A,0.0,0.0,D,P Walton,14.0,14.0,12.0,8.0,11.0,4.0,10.0,2.0,1.0,0.0,0.0,0.0,2.75,3.25,2.62
4.0,3.0,841,07/10/2007,Blackburn,Birmingham,2.0,1.0,H,1.0,0.0,H,M Clattenburg,17.0,6.0,5.0,5.0,15.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,1.66,3.75,5.5
4.0,33.0,850,20/10/2007,Blackburn,Reading,4.0,2.0,H,3.0,0.0,H,A Marriner,11.0,13.0,6.0,7.0,8.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,1.7,3.5,5.5
39.0,4.0,867,28/10/2007,Tottenham,Blackburn,1.0,2.0,A,0.0,0.0,D,R Styles,9.0,9.0,6.0,4.0,11.0,14.0,10.0,2.0,4.0,3.0,0.0,0.0,2.2,3.4,3.25
4.0,23.0,870,03/11/2007,Blackburn,Liverpool,0.0,0.0,D,0.0,0.0,D,M Atkinson,15.0,11.0,7.0,7.0,7.0,11.0,6.0,3.0,0.0,1.0,0.0,0.0,3.0,3.3,2.37
26.0,4.0,884,11/11/2007,Man United,Blackburn,2.0,0.0,H,2.0,0.0,H,C Foy,22.0,12.0,15.0,7.0,7.0,19.0,9.0,4.0,1.0,4.0,0.0,1.0,1.33,4.5,8.5
17.0,4.0,896,25/11/2007,Fulham,Blackburn,2.0,2.0,D,0.0,0.0,D,M Dean,5.0,12.0,2.0,10.0,19.0,10.0,3.0,6.0,2.0,1.0,0.0,0.0,2.87,3.25,2.5
4.0,2.0,898,28/11/2007,Blackburn,Aston Villa,0.0,4.0,A,0.0,1.0,A,P Dowd,16.0,7.0,10.0,7.0,11.0,16.0,11.0,2.0,0.0,1.0,1.0,0.0,2.2,3.25,3.4
4.0,28.0,900,01/12/2007,Blackburn,Newcastle,3.0,1.0,H,0.0,0.0,D,M Atkinson,13.0,20.0,6.0,8.0,21.0,17.0,1.0,1.0,2.0,3.0,0.0,0.0,1.9,3.4,4.2
4.0,42.0,916,09/12/2007,Blackburn,West Ham,0.0,1.0,A,0.0,0.0,D,A Wiley,15.0,11.0,7.0,5.0,15.0,17.0,9.0,5.0,1.0,1.0,0.0,0.0,1.83,3.5,4.5
