homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
7.0,42.0,6844,12/08/2023,Bournemouth,West Ham,1.0,1.0,D,0.0,0.0,D,P Bankes,14.0,16.0,5.0,3.0,9.0,14.0,10.0,4.0,1.0,4.0,0.0,0.0,2.7,3.4,2.55
23.0,7.0,6854,19/08/2023,Liverpool,Bournemouth,3.0,1.0,H,2.0,1.0,H,T Bramall,26.0,13.0,10.0,5.0,11.0,13.0,10.0,2.0,1.0,3.0,1.0,0.0,1.2,7.0,13.0
7.0,39.0,6862,26/08/2023,Bournemouth,Tottenham,0.0,2.0,A,0.0,1.0,A,T Robinson,11.0,17.0,3.0,6.0,18.0,11.0,6.0,2.0,1.0,3.0,0.0,0.0,3.8,3.75,1.91
8.0,7.0,6873,02/09/2023,Brentford,Bournemouth,2.0,2.0,D,1.0,1.0,D,R Madley,21.0,12.0,7.0,5.0,6.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,1.73,3.8,4.75
7.0,13.0,6888,17/09/2023,Bournemouth,Chelsea,0.0,0.0,D,0.0,0.0,D,D Coote,13.0,14.0,4.0,6.0,15.0,20.0,1.0,7.0,1.0,5.0,0.0,0.0,4.33,3.75,1.8
9.0,7.0,6897,24/09/2023,Brighton,Bournemouth,3.0,1.0,H,1.0,1.0,D,J Brooks,13.0,12.0,4.0,4.0,12.0,17.0,4.0,4.0,3.0,3.0,0.0,0.0,1.36,5.25,7.5
7.0,1.0,6902,30/09/2023,Bournemouth,Arsenal,0.0,4.0,A,0.0,2.0,A,M Salisbury,8.0,15.0,1.0,8.0,11.0,10.0,6.0,6.0,0.0,1.0,0.0,0.0,5.5,4.5,1.53
16.0,7.0,6914,07/10/2023,Everton,Bournemouth,3.0,0.0,H,2.0,0.0,H,D Coote,25.0,11.0,8.0,4.0,14.0,15.0,8.0,7.0,1.0,2.0,0.0,0.0,1.91,3.6,3.8
7.0,44.0,6923,21/10/2023,Bournemouth,Wolves,1.0,2.0,A,1.0,0.0,H,P Tierney,7.0,20.0,4.0,7.0,15.0,10.0,3.0,12.0,2.0,6.0,1.0,0.0,2.38,3.4,3.0
7.0,10.0,6935,28/10/2023,Bournemouth,Burnley,2.0,1.0,H,1.0,1.0,D,S Barrott,13.0,6.0,6.0,3.0,9.0,12.0,10.0,5.0,2.0,3.0,0.0,0.0,2.15,3.5,3.3
25.0,7.0,6946,04/11/2023,Man City,Bournemouth,6.0,1.0,H,3.0,0.0,H,C Pawson,21.0,5.0,8.0,1.0,8.0,9.0,12.0,1.0,0.0,1.0,0.0,0.0,1.1,11.0,19.0
7.0,28.0,6956,11/11/2023,Bournemouth,Newcastle,2.0,0.0,H,0.0,0.0,D,C Kavanagh,19.0,8.0,10.0,5.0,10.0,4.0,6.0,5.0,2.0,1.0,0.0,0.0,4.75,4.0,1.73
34.0,7.0,6967,25/11/2023,Sheffield United,Bournemouth,1.0,3.0,A,0.0,2.0,A,A Madley,10.0,23.0,2.0,11.0,6.0,8.0,4.0,7.0,4.0,1.0,0.0,0.0,3.2,3.5,2.2
7.0,2.0,6977,03/12/2023,Bournemouth,Aston Villa,2.0,2.0,D,1.0,1.0,D,T Bramall,15.0,11.0,7.0,3.0,16.0,12.0,7.0,7.0,5.0,3.0,0.0,0.0,3.4,4.0,1.95
14.0,7.0,6985,06/12/2023,Crystal Palace,Bournemouth,0.0,2.0,A,0.0,1.0,A,C Pawson,16.0,11.0,3.0,4.0,10.0,17.0,3.0,9.0,1.0,3.0,0.0,0.0,2.25,3.5,3.1
26.0,7.0,6994,09/12/2023,Man United,Bournemouth,0.0,3.0,A,0.0,1.0,A,P Bankes,20.0,10.0,3.0,4.0,7.0,10.0,10.0,4.0,3.0,1.0,0.0,0.0,1.55,4.33,5.75
30.0,7.0,7016,23/12/2023,Nott'm Forest,Bournemouth,2.0,3.0,A,0.0,0.0,D,R Jones,11.0,18.0,5.0,7.0,10.0,10.0,6.0,6.0,0.0,3.0,1.0,0.0,2.75,3.4,2.55
7.0,17.0,7021,26/12/2023,Bournemouth,Fulham,3.0,0.0,H,1.0,0.0,H,T Robinson,16.0,8.0,4.0,3.0,10.0,10.0,6.0,5.0,0.0,2.0,0.0,0.0,2.15,3.6,3.2
39.0,7.0,7037,31/12/2023,Tottenham,Bournemouth,3.0,1.0,H,1.0,0.0,H,S Hooper,12.0,24.0,6.0,4.0,9.0,18.0,4.0,13.0,3.0,3.0,0.0,0.0,1.75,4.2,4.0
7.0,23.0,7048,21/01/2024,Bournemouth,Liverpool,0.0,4.0,A,0.0,0.0,D,A Madley,11.0,14.0,1.0,7.0,9.0,12.0,8.0,5.0,1.0,2.0,0.0,0.0,4.2,4.5,1.7
42.0,7.0,7058,01/02/2024,West Ham,Bournemouth,1.0,1.0,D,0.0,1.0,A,T Robinson,9.0,9.0,3.0,4.0,13.0,11.0,1.0,5.0,1.0,3.0,0.0,0.0,2.4,3.75,2.75
