homeTeamID,awayTeamID,matchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
16.0,22.0,388,08/07/2022,Leicester,Brentford,2.0,2.0,D,1.0,0.0,H,J Gillett,14.0,8.0,5.0,3.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,3.75,3.5
22.0,11.0,397,13/08/2022,Brentford,Man United,4.0,0.0,H,4.0,0.0,H,S Attwell,13.0,15.0,7.0,4.0,6.0,15.0,8.0,2.0,0.0,4.0,0.0,0.0,3.75,3.5,2.0
1.0,22.0,404,20/08/2022,Fulham,Brentford,3.0,2.0,H,2.0,1.0,H,P Bankes,18.0,13.0,9.0,5.0,13.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0,2.45,3.4,2.9
22.0,9.0,412,27/08/2022,Brentford,Everton,1.0,1.0,D,0.0,1.0,A,J Brooks,19.0,14.0,5.0,7.0,8.0,8.0,8.0,5.0,2.0,2.0,0.0,0.0,2.0,3.5,3.75
2.0,22.0,421,30/08/2022,Crystal Palace,Brentford,1.0,1.0,D,0.0,0.0,D,S Hooper,13.0,9.0,4.0,3.0,11.0,8.0,4.0,6.0,1.0,2.0,0.0,0.0,2.05,3.4,3.6
22.0,10.0,432,09/03/2022,Brentford,Leeds,5.0,2.0,H,2.0,1.0,H,R Jones,14.0,17.0,8.0,6.0,8.0,9.0,2.0,6.0,2.0,2.0,0.0,0.0,2.1,3.5,3.4
22.0,12.0,446,18/09/2022,Brentford,Arsenal,0.0,3.0,A,0.0,2.0,A,D Coote,5.0,13.0,2.0,7.0,10.0,10.0,3.0,3.0,0.0,2.0,0.0,0.0,4.2,3.8,1.8
21.0,22.0,449,10/01/2022,Bournemouth,Brentford,0.0,0.0,D,0.0,0.0,D,T Bramall,7.0,13.0,1.0,4.0,11.0,10.0,7.0,8.0,1.0,2.0,0.0,0.0,3.3,3.4,2.2
14.0,22.0,461,10/08/2022,Newcastle,Brentford,5.0,1.0,H,2.0,0.0,H,J Brooks,16.0,6.0,6.0,3.0,14.0,9.0,9.0,5.0,0.0,1.0,0.0,0.0,1.83,3.8,4.2
22.0,7.0,468,14/10/2022,Brentford,Brighton,2.0,0.0,H,1.0,0.0,H,M Salisbury,7.0,21.0,3.0,7.0,12.0,15.0,2.0,11.0,3.0,1.0,0.0,0.0,3.1,3.4,2.3
22.0,15.0,481,19/10/2022,Brentford,Chelsea,0.0,0.0,D,0.0,0.0,D,J Gillett,8.0,14.0,5.0,5.0,7.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,4.75,3.8,1.72
17.0,22.0,491,23/10/2022,Aston Villa,Brentford,4.0,0.0,H,3.0,0.0,H,D England,19.0,12.0,11.0,3.0,14.0,11.0,7.0,6.0,1.0,0.0,0.0,0.0,2.1,3.5,3.5
22.0,18.0,499,29/10/2022,Brentford,Wolves,1.0,1.0,D,0.0,0.0,D,R Madley,12.0,14.0,3.0,4.0,10.0,17.0,3.0,6.0,3.0,3.0,0.0,1.0,2.2,3.4,3.3
23.0,22.0,509,11/05/2022,Nott'm Forest,Brentford,2.0,2.0,D,1.0,1.0,D,A Marriner,15.0,6.0,7.0,2.0,10.0,11.0,3.0,3.0,2.0,2.0,0.0,0.0,2.75,3.3,2.6
20.0,22.0,517,11/12/2022,Man City,Brentford,1.0,2.0,A,1.0,1.0,D,P Bankes,29.0,10.0,6.0,8.0,9.0,7.0,10.0,2.0,2.0,2.0,0.0,0.0,1.14,8.0,17.0
22.0,6.0,527,26/12/2022,Brentford,Tottenham,2.0,2.0,D,1.0,0.0,H,D Coote,9.0,16.0,5.0,8.0,11.0,10.0,6.0,5.0,3.0,1.0,0.0,0.0,4.0,3.6,1.91
