homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
10.0,25.0,6842,11/08/2023,Burnley,Man City,0.0,3.0,A,0.0,2.0,A,C Pawson,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,8.0,5.5,1.33
10.0,2.0,6868,27/08/2023,Burnley,Aston Villa,1.0,3.0,A,0.0,2.0,A,M Salisbury,9.0,16.0,2.0,6.0,12.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,3.4,3.4,2.15
10.0,39.0,6874,02/09/2023,Burnley,Tottenham,2.0,5.0,A,1.0,2.0,A,D England,16.0,20.0,4.0,10.0,15.0,9.0,7.0,4.0,4.0,3.0,0.0,0.0,3.6,4.0,1.85
30.0,10.0,6890,18/09/2023,Nott'm Forest,Burnley,1.0,1.0,D,0.0,1.0,A,R Jones,14.0,10.0,4.0,3.0,16.0,10.0,5.0,4.0,2.0,3.0,0.0,1.0,2.2,3.5,3.25
10.0,26.0,6895,23/09/2023,Burnley,Man United,0.0,1.0,A,0.0,1.0,A,T Harrington,12.0,11.0,4.0,4.0,6.0,12.0,9.0,5.0,1.0,2.0,0.0,0.0,4.2,4.2,1.73
28.0,10.0,6905,30/09/2023,Newcastle,Burnley,2.0,0.0,H,1.0,0.0,H,T Bramall,20.0,8.0,8.0,2.0,7.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,1.3,5.75,9.0
24.0,10.0,6911,03/10/2023,Luton,Burnley,1.0,2.0,A,0.0,1.0,A,P Bankes,18.0,14.0,3.0,4.0,14.0,6.0,7.0,6.0,4.0,2.0,0.0,0.0,2.9,3.0,2.63
10.0,13.0,6913,07/10/2023,Burnley,Chelsea,1.0,4.0,A,1.0,1.0,D,S Attwell,10.0,9.0,3.0,5.0,11.0,8.0,7.0,3.0,2.0,4.0,0.0,0.0,4.5,3.8,1.73
8.0,10.0,6924,21/10/2023,Brentford,Burnley,3.0,0.0,H,1.0,0.0,H,J Smith,23.0,6.0,10.0,1.0,14.0,12.0,5.0,5.0,5.0,2.0,0.0,1.0,1.83,3.75,4.2
7.0,10.0,6935,28/10/2023,Bournemouth,Burnley,2.0,1.0,H,1.0,1.0,D,S Barrott,13.0,6.0,6.0,3.0,9.0,12.0,10.0,5.0,2.0,3.0,0.0,0.0,2.15,3.5,3.3
10.0,14.0,6944,04/11/2023,Burnley,Crystal Palace,0.0,2.0,A,0.0,1.0,A,P Bankes,17.0,4.0,5.0,3.0,9.0,12.0,12.0,1.0,0.0,5.0,0.0,0.0,2.75,3.25,2.6
1.0,10.0,6953,11/11/2023,Arsenal,Burnley,3.0,1.0,H,1.0,0.0,H,M Oliver,16.0,8.0,6.0,5.0,8.0,9.0,3.0,3.0,0.0,1.0,1.0,0.0,1.18,7.0,17.0
10.0,42.0,6963,25/11/2023,Burnley,West Ham,1.0,2.0,A,0.0,0.0,D,S Barrott,11.0,11.0,5.0,3.0,11.0,7.0,4.0,5.0,1.0,3.0,0.0,0.0,3.4,3.5,2.05
10.0,34.0,6974,02/12/2023,Burnley,Sheffield United,5.0,0.0,H,2.0,0.0,H,C Kavanagh,19.0,6.0,7.0,3.0,9.0,12.0,6.0,1.0,2.0,5.0,0.0,1.0,1.8,3.6,4.5
44.0,10.0,6982,05/12/2023,Wolves,Burnley,1.0,0.0,H,1.0,0.0,H,J Gillett,7.0,12.0,4.0,3.0,11.0,15.0,6.0,8.0,2.0,4.0,0.0,0.0,1.85,3.6,4.2
9.0,10.0,6993,09/12/2023,Brighton,Burnley,1.0,1.0,D,0.0,1.0,A,S Hooper,29.0,6.0,11.0,3.0,5.0,8.0,9.0,1.0,0.0,4.0,0.0,0.0,1.5,4.75,6.0
10.0,16.0,7006,16/12/2023,Burnley,Everton,0.0,2.0,A,0.0,2.0,A,A Taylor,14.0,9.0,2.0,6.0,9.0,8.0,8.0,6.0,0.0,1.0,0.0,0.0,3.6,3.4,2.1
17.0,10.0,7014,23/12/2023,Fulham,Burnley,0.0,2.0,A,0.0,0.0,D,R Welch,19.0,7.0,5.0,2.0,5.0,17.0,8.0,6.0,2.0,1.0,0.0,0.0,1.67,3.75,5.25
