homeTeamID,awayTeamID,matchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
29.0,44.0,6148,13/08/2005,Sunderland,Charlton,1.0,3.0,A,1.0,1.0,D,H Webb,12.0,14.0,8.0,4.0,15.0,17.0,5.0,5.0,2.0,0.0,0.0,1.0,2.37,3.2,2.9
44.0,27.0,6154,20/08/2005,Charlton,Wigan,1.0,0.0,H,1.0,0.0,H,R Styles,21.0,4.0,10.0,0.0,10.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,1.8,3.4,4.33
37.0,44.0,6176,28/08/2005,Middlesbrough,Charlton,0.0,3.0,A,0.0,1.0,A,M Dean,10.0,12.0,6.0,8.0,18.0,15.0,6.0,1.0,2.0,1.0,0.0,0.0,1.83,3.3,4.33
38.0,44.0,6178,09/10/2005,Birmingham,Charlton,0.0,1.0,A,0.0,1.0,A,M Halsey,18.0,8.0,5.0,4.0,9.0,10.0,13.0,4.0,0.0,2.0,0.0,0.0,2.37,3.25,2.87
44.0,15.0,6189,17/09/2005,Charlton,Chelsea,0.0,2.0,A,0.0,0.0,D,H Webb,11.0,16.0,4.0,11.0,11.0,10.0,2.0,7.0,0.0,2.0,0.0,0.0,6.0,3.6,1.57
5.0,44.0,6204,24/09/2005,West Brom,Charlton,1.0,2.0,A,0.0,2.0,A,C Foy,18.0,8.0,10.0,4.0,10.0,12.0,6.0,3.0,0.0,1.0,0.0,0.0,2.75,3.2,2.5
44.0,6.0,6209,10/01/2005,Charlton,Tottenham,2.0,3.0,A,1.0,0.0,H,P Dowd,9.0,13.0,4.0,7.0,15.0,17.0,1.0,6.0,3.0,2.0,0.0,0.0,2.5,3.2,2.75
44.0,1.0,6227,17/10/2005,Charlton,Fulham,1.0,1.0,D,0.0,1.0,A,M Riley,14.0,13.0,3.0,1.0,19.0,19.0,6.0,1.0,2.0,3.0,0.0,0.0,1.83,3.25,4.5
39.0,44.0,6233,22/10/2005,Portsmouth,Charlton,1.0,2.0,A,1.0,0.0,H,H Webb,15.0,11.0,6.0,7.0,10.0,15.0,6.0,5.0,2.0,3.0,0.0,0.0,2.6,3.25,2.6
44.0,31.0,6239,29/10/2005,Charlton,Bolton,0.0,1.0,A,0.0,0.0,D,M Clattenburg,7.0,11.0,4.0,7.0,11.0,13.0,4.0,2.0,1.0,0.0,0.0,0.0,2.1,3.2,3.5
25.0,44.0,6250,11/05/2005,Blackburn,Charlton,4.0,1.0,H,2.0,1.0,H,P Dowd,9.0,10.0,3.0,9.0,9.0,15.0,7.0,9.0,0.0,2.0,0.0,0.0,2.3,3.1,3.1
44.0,11.0,6258,19/11/2005,Charlton,Man United,1.0,3.0,A,0.0,1.0,A,M Riley,18.0,13.0,11.0,7.0,13.0,11.0,4.0,3.0,0.0,2.0,0.0,0.0,4.0,3.25,1.9
17.0,44.0,6268,26/11/2005,Aston Villa,Charlton,1.0,0.0,H,0.0,0.0,D,M Clattenburg,16.0,5.0,10.0,3.0,9.0,12.0,10.0,3.0,2.0,2.0,0.0,0.0,2.25,3.2,3.1
44.0,20.0,6286,12/04/2005,Charlton,Man City,2.0,5.0,A,1.0,2.0,A,P Dowd,10.0,17.0,4.0,9.0,20.0,14.0,8.0,4.0,2.0,3.0,0.0,0.0,2.4,3.2,2.87
44.0,29.0,6291,12/10/2005,Charlton,Sunderland,2.0,0.0,H,1.0,0.0,H,A Wiley,14.0,14.0,8.0,6.0,11.0,16.0,3.0,6.0,0.0,2.0,0.0,0.0,1.66,3.4,5.5
27.0,44.0,6306,17/12/2005,Wigan,Charlton,3.0,0.0,H,1.0,0.0,H,M Atkinson,18.0,5.0,12.0,2.0,8.0,8.0,12.0,3.0,0.0,1.0,0.0,0.0,2.3,3.25,3.0
44.0,12.0,6310,26/12/2005,Charlton,Arsenal,0.0,1.0,A,0.0,0.0,D,S Bennett,8.0,18.0,0.0,11.0,16.0,10.0,4.0,10.0,3.0,2.0,1.0,0.0,5.0,3.4,1.72
44.0,4.0,6327,31/12/2005,Charlton,West Ham,2.0,0.0,H,1.0,0.0,H,G Poll,14.0,8.0,7.0,3.0,15.0,8.0,6.0,13.0,1.0,0.0,0.0,0.0,2.2,3.25,3.2
9.0,44.0,6339,01/02/2006,Everton,Charlton,3.0,1.0,H,2.0,1.0,H,U Rennie,13.0,11.0,6.0,4.0,13.0,14.0,5.0,2.0,0.0,2.0,0.0,0.0,2.3,3.25,3.0
