homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
13.0,23.0,6850,13/08/2023,Chelsea,Liverpool,1.0,1.0,D,1.0,1.0,D,A Taylor,10.0,13.0,4.0,1.0,5.0,12.0,4.0,4.0,3.0,3.0,0.0,0.0,2.9,3.4,2.38
42.0,13.0,6859,20/08/2023,West Ham,Chelsea,3.0,1.0,H,1.0,1.0,D,J Brooks,12.0,17.0,6.0,4.0,12.0,9.0,3.0,9.0,2.0,3.0,1.0,0.0,3.75,3.5,2.0
13.0,24.0,6861,25/08/2023,Chelsea,Luton,3.0,0.0,H,1.0,0.0,H,R Jones,19.0,11.0,8.0,1.0,15.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0,1.29,5.5,11.0
13.0,30.0,6875,02/09/2023,Chelsea,Nott'm Forest,0.0,1.0,A,0.0,0.0,D,T Robinson,21.0,7.0,2.0,3.0,10.0,9.0,8.0,0.0,3.0,4.0,0.0,0.0,1.4,4.5,8.5
7.0,13.0,6888,17/09/2023,Bournemouth,Chelsea,0.0,0.0,D,0.0,0.0,D,D Coote,13.0,14.0,4.0,6.0,15.0,20.0,1.0,7.0,1.0,5.0,0.0,0.0,4.33,3.75,1.8
13.0,2.0,6898,24/09/2023,Chelsea,Aston Villa,0.0,1.0,A,0.0,0.0,D,J Gillett,10.0,15.0,4.0,7.0,9.0,11.0,5.0,11.0,2.0,3.0,0.0,0.0,1.91,3.75,3.8
17.0,13.0,6910,02/10/2023,Fulham,Chelsea,0.0,2.0,A,0.0,2.0,A,T Robinson,10.0,11.0,3.0,4.0,15.0,12.0,8.0,1.0,1.0,4.0,0.0,0.0,3.6,3.5,2.05
10.0,13.0,6913,07/10/2023,Burnley,Chelsea,1.0,4.0,A,1.0,1.0,D,S Attwell,10.0,9.0,3.0,5.0,11.0,8.0,7.0,3.0,2.0,4.0,0.0,0.0,4.5,3.8,1.73
13.0,1.0,6928,21/10/2023,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,C Kavanagh,11.0,13.0,5.0,3.0,7.0,14.0,2.0,7.0,3.0,3.0,0.0,0.0,3.2,3.4,2.25
13.0,8.0,6933,28/10/2023,Chelsea,Brentford,0.0,2.0,A,0.0,0.0,D,S Hooper,17.0,7.0,2.0,5.0,12.0,7.0,10.0,1.0,1.0,4.0,0.0,0.0,1.65,4.0,5.25
