homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
34.0,14.0,6847,12/08/2023,Sheffield United,Crystal Palace,0.0,1.0,A,0.0,0.0,D,J Brooks,8.0,24.0,1.0,8.0,18.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,3.3,2.38
14.0,1.0,6860,21/08/2023,Crystal Palace,Arsenal,0.0,1.0,A,0.0,0.0,D,D Coote,14.0,14.0,2.0,3.0,14.0,10.0,1.0,8.0,2.0,1.0,0.0,1.0,5.5,4.0,1.6
8.0,14.0,6864,26/08/2023,Brentford,Crystal Palace,1.0,1.0,D,1.0,0.0,H,P Bankes,12.0,15.0,1.0,5.0,9.0,15.0,8.0,6.0,0.0,0.0,0.0,0.0,2.15,3.4,3.5
14.0,44.0,6878,03/09/2023,Crystal Palace,Wolves,3.0,2.0,H,0.0,0.0,D,R Jones,16.0,12.0,11.0,4.0,12.0,12.0,4.0,2.0,1.0,3.0,0.0,0.0,1.91,3.3,4.33
2.0,14.0,6882,16/09/2023,Aston Villa,Crystal Palace,3.0,1.0,H,0.0,0.0,D,D England,16.0,6.0,5.0,3.0,13.0,9.0,4.0,2.0,5.0,3.0,0.0,0.0,1.91,3.6,4.0
14.0,17.0,6891,23/09/2023,Crystal Palace,Fulham,0.0,0.0,D,0.0,0.0,D,P Tierney,7.0,10.0,3.0,5.0,10.0,15.0,3.0,2.0,3.0,2.0,0.0,0.0,1.91,3.4,4.2
26.0,14.0,6904,30/09/2023,Man United,Crystal Palace,0.0,1.0,A,0.0,1.0,A,C Kavanagh,19.0,8.0,4.0,2.0,10.0,8.0,10.0,4.0,3.0,2.0,0.0,0.0,1.55,4.2,5.75
14.0,30.0,6917,07/10/2023,Crystal Palace,Nott'm Forest,0.0,0.0,D,0.0,0.0,D,C Pawson,8.0,16.0,2.0,5.0,7.0,12.0,3.0,7.0,0.0,1.0,0.0,0.0,2.2,3.1,3.6
28.0,14.0,6926,21/10/2023,Newcastle,Crystal Palace,4.0,0.0,H,3.0,0.0,H,T Robinson,10.0,17.0,7.0,3.0,7.0,12.0,6.0,8.0,2.0,3.0,0.0,0.0,1.45,4.5,7.0
14.0,39.0,6932,27/10/2023,Crystal Palace,Tottenham,1.0,2.0,A,0.0,0.0,D,A Madley,13.0,10.0,3.0,1.0,19.0,11.0,11.0,2.0,2.0,1.0,0.0,0.0,4.5,3.75,1.75
10.0,14.0,6944,04/11/2023,Burnley,Crystal Palace,0.0,2.0,A,0.0,1.0,A,P Bankes,17.0,4.0,5.0,3.0,9.0,12.0,12.0,1.0,0.0,5.0,0.0,0.0,2.75,3.25,2.6
14.0,16.0,6954,11/11/2023,Crystal Palace,Everton,2.0,3.0,A,1.0,1.0,D,S Barrott,13.0,8.0,4.0,4.0,9.0,18.0,9.0,2.0,1.0,4.0,0.0,0.0,2.45,3.2,3.0
24.0,14.0,6964,25/11/2023,Luton,Crystal Palace,2.0,1.0,H,0.0,0.0,D,J Gillett,8.0,16.0,3.0,8.0,15.0,12.0,4.0,5.0,6.0,1.0,0.0,0.0,3.6,3.3,2.1
42.0,14.0,6980,03/12/2023,West Ham,Crystal Palace,1.0,1.0,D,1.0,0.0,H,M Oliver,9.0,9.0,3.0,2.0,17.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.5,3.8
14.0,7.0,6985,06/12/2023,Crystal Palace,Bournemouth,0.0,2.0,A,0.0,1.0,A,C Pawson,16.0,11.0,3.0,4.0,10.0,17.0,3.0,9.0,1.0,3.0,0.0,0.0,2.25,3.5,3.1
14.0,23.0,6992,09/12/2023,Crystal Palace,Liverpool,1.0,2.0,A,0.0,0.0,D,A Madley,8.0,14.0,4.0,2.0,17.0,17.0,6.0,5.0,5.0,2.0,1.0,0.0,6.0,4.5,1.5
25.0,14.0,7004,16/12/2023,Man City,Crystal Palace,2.0,2.0,D,1.0,0.0,H,P Tierney,19.0,5.0,9.0,2.0,12.0,9.0,6.0,1.0,1.0,1.0,0.0,0.0,1.18,8.0,13.0
14.0,9.0,7011,21/12/2023,Crystal Palace,Brighton,1.0,1.0,D,1.0,0.0,H,J Brooks,11.0,18.0,3.0,6.0,12.0,11.0,3.0,1.0,5.0,2.0,0.0,0.0,3.3,3.3,2.15
13.0,14.0,7026,27/12/2023,Chelsea,Crystal Palace,2.0,1.0,H,1.0,1.0,D,M Salisbury,9.0,13.0,4.0,5.0,13.0,16.0,4.0,3.0,3.0,2.0,0.0,0.0,1.67,4.0,5.0
14.0,8.0,7032,30/12/2023,Crystal Palace,Brentford,3.0,1.0,H,2.0,1.0,H,R Jones,13.0,9.0,6.0,4.0,14.0,10.0,7.0,4.0,0.0,1.0,0.0,0.0,2.2,3.3,3.4
1.0,14.0,7045,20/01/2024,Arsenal,Crystal Palace,5.0,0.0,H,2.0,0.0,H,P Tierney,21.0,12.0,6.0,5.0,8.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,1.3,5.75,9.0
14.0,34.0,7053,30/01/2024,Crystal Palace,Sheffield United,3.0,2.0,H,2.0,2.0,D,T Harrington,12.0,9.0,4.0,5.0,8.0,18.0,11.0,1.0,1.0,4.0,0.0,0.0,1.62,3.6,6.5
9.0,14.0,7061,03/02/2024,Brighton,Crystal Palace,4.0,1.0,H,3.0,0.0,H,S Hooper,13.0,7.0,6.0,5.0,8.0,14.0,3.0,2.0,1.0,3.0,0.0,0.0,1.7,4.0,4.75
14.0,13.0,7079,12/02/2024,Crystal Palace,Chelsea,1.0,3.0,A,1.0,0.0,H,M Oliver,13.0,14.0,4.0,5.0,14.0,7.0,1.0,7.0,2.0,2.0,0.0,0.0,4.2,3.8,1.85
16.0,14.0,7089,19/02/2024,Everton,Crystal Palace,1.0,1.0,D,0.0,0.0,D,P Tierney,19.0,10.0,4.0,4.0,8.0,12.0,3.0,6.0,0.0,2.0,0.0,0.0,1.7,3.6,5.25
14.0,10.0,7094,24/02/2024,Crystal Palace,Burnley,3.0,0.0,H,0.0,0.0,D,L Smith,15.0,2.0,6.0,0.0,8.0,13.0,12.0,3.0,3.0,1.0,0.0,1.0,1.95,3.5,4.0
39.0,14.0,7105,02/03/2024,Tottenham,Crystal Palace,3.0,1.0,H,0.0,0.0,D,J Brooks,14.0,4.0,6.0,1.0,7.0,16.0,11.0,1.0,1.0,2.0,0.0,0.0,1.5,4.33,6.5
14.0,24.0,7112,09/03/2024,Crystal Palace,Luton,1.0,1.0,D,1.0,0.0,H,S Singh,21.0,8.0,4.0,2.0,20.0,11.0,8.0,6.0,2.0,3.0,0.0,0.0,1.75,3.8,4.2
30.0,14.0,7128,30/03/2024,Nott'm Forest,Crystal Palace,1.0,1.0,D,0.0,1.0,A,C Kavanagh,12.0,10.0,5.0,3.0,14.0,12.0,4.0,6.0,1.0,1.0,0.0,0.0,2.2,3.3,3.4
7.0,14.0,7137,02/04/2024,Bournemouth,Crystal Palace,1.0,0.0,H,0.0,0.0,D,G Scott,11.0,3.0,6.0,2.0,13.0,14.0,9.0,2.0,3.0,2.0,0.0,0.0,1.95,3.8,3.6
14.0,25.0,7145,06/04/2024,Crystal Palace,Man City,2.0,4.0,A,1.0,1.0,D,P Tierney,7.0,18.0,4.0,8.0,13.0,3.0,2.0,9.0,1.0,1.0,0.0,0.0,9.5,5.25,1.33
23.0,14.0,7161,14/04/2024,Liverpool,Crystal Palace,0.0,1.0,A,0.0,1.0,A,C Kavanagh,21.0,8.0,6.0,5.0,10.0,10.0,11.0,1.0,1.0,1.0,0.0,0.0,1.22,7.0,12.0
14.0,42.0,7170,21/04/2024,Crystal Palace,West Ham,5.0,2.0,H,4.0,1.0,H,G Scott,18.0,4.0,7.0,1.0,9.0,9.0,4.0,0.0,3.0,2.0,0.0,0.0,2.1,3.6,3.4
14.0,28.0,7174,24/04/2024,Crystal Palace,Newcastle,2.0,0.0,H,0.0,0.0,D,T Bramall,20.0,7.0,7.0,2.0,10.0,15.0,7.0,2.0,3.0,3.0,0.0,0.0,2.75,3.6,2.4
17.0,14.0,7179,27/04/2024,Fulham,Crystal Palace,1.0,1.0,D,0.0,0.0,D,S Attwell,9.0,14.0,2.0,4.0,11.0,15.0,5.0,9.0,0.0,2.0,0.0,0.0,2.1,3.5,3.5
14.0,26.0,7198,06/05/2024,Crystal Palace,Man United,4.0,0.0,H,2.0,0.0,H,J Gillett ,18.0,7.0,10.0,2.0,12.0,8.0,6.0,3.0,1.0,1.0,0.0,0.0,2.38,3.75,2.8
44.0,14.0,7205,11/05/2024,Wolves,Crystal Palace,1.0,3.0,A,0.0,2.0,A,T Bramall,13.0,13.0,7.0,3.0,13.0,12.0,8.0,3.0,3.0,2.0,0.0,1.0,2.88,3.5,2.38
14.0,2.0,7217,19/05/2024,Crystal Palace,Aston Villa,5.0,0.0,H,2.0,0.0,H,D Bond,15.0,8.0,9.0,2.0,10.0,8.0,2.0,4.0,1.0,4.0,0.0,0.0,1.85,4.33,3.6
13.0,14.0,7608,17/08/2025,Chelsea,Crystal Palace,0.0,0.0,D,0.0,0.0,D,D England,19.0,12.0,3.0,4.0,10.0,12.0,11.0,2.0,2.0,3.0,0.0,0.0,1.62,4.33,4.5
14.0,30.0,7618,24/08/2025,Crystal Palace,Nott'm Forest,1.0,1.0,D,1.0,0.0,H,A Taylor,8.0,9.0,4.0,1.0,11.0,11.0,1.0,3.0,3.0,3.0,0.0,0.0,2.35,3.3,3.1
2.0,14.0,7631,31/08/2025,Aston Villa,Crystal Palace,0.0,3.0,A,0.0,1.0,A,S Attwell,13.0,6.0,4.0,4.0,7.0,14.0,10.0,1.0,2.0,3.0,0.0,0.0,1.85,3.7,4.0
14.0,37.0,7634,13/09/2025,Crystal Palace,Sunderland,0.0,0.0,D,0.0,0.0,D,T Bramall,14.0,6.0,6.0,0.0,10.0,8.0,5.0,3.0,1.0,1.0,0.0,0.0,1.65,3.75,5.75
42.0,14.0,7645,20/09/2025,West Ham,Crystal Palace,1.0,2.0,A,0.0,1.0,A,T Harrington,8.0,18.0,3.0,3.0,15.0,5.0,8.0,8.0,3.0,3.0,0.0,0.0,2.88,3.5,2.38
14.0,23.0,7654,27/09/2025,Crystal Palace,Liverpool,2.0,1.0,H,1.0,0.0,H,C Kavanagh,16.0,20.0,7.0,4.0,10.0,8.0,2.0,6.0,1.0,3.0,0.0,0.0,3.8,3.8,1.9
16.0,14.0,7668,05/10/2025,Everton,Crystal Palace,2.0,1.0,H,0.0,1.0,A,M Salisbury,14.0,15.0,7.0,8.0,13.0,16.0,2.0,4.0,2.0,3.0,0.0,0.0,2.45,3.25,3.0
14.0,7.0,7675,18/10/2025,Crystal Palace,Bournemouth,3.0,3.0,D,0.0,2.0,A,J Gillett,20.0,8.0,7.0,5.0,8.0,16.0,6.0,5.0,1.0,4.0,0.0,0.0,2.2,3.4,3.25
1.0,14.0,7687,26/10/2025,Arsenal,Crystal Palace,1.0,0.0,H,1.0,0.0,H,T Bramall,10.0,7.0,3.0,1.0,6.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,1.4,4.75,7.5
13.0,14.0,6085,14/08/2021,Chelsea,Crystal Palace,3.0,0.0,H,2.0,0.0,H,J Moss,13.0,4.0,6.0,1.0,15.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,1.25,5.75,13.0
14.0,8.0,6094,21/08/2021,Crystal Palace,Brentford,0.0,0.0,D,0.0,0.0,D,M Atkinson,7.0,14.0,2.0,3.0,12.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,2.55,3.2,2.87
42.0,14.0,6107,28/08/2021,West Ham,Crystal Palace,2.0,2.0,D,1.0,0.0,H,S Attwell,14.0,9.0,4.0,2.0,10.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,1.55,4.0,6.5
14.0,39.0,6112,11/09/2021,Crystal Palace,Tottenham,3.0,0.0,H,0.0,0.0,D,J Moss,18.0,2.0,4.0,1.0,13.0,15.0,8.0,2.0,2.0,1.0,0.0,1.0,4.2,3.5,1.9
23.0,14.0,6125,18/09/2021,Liverpool,Crystal Palace,3.0,0.0,H,1.0,0.0,H,A Madley,25.0,13.0,10.0,2.0,17.0,11.0,10.0,5.0,3.0,1.0,0.0,0.0,1.2,7.0,13.0
14.0,9.0,6141,27/09/2021,Crystal Palace,Brighton,1.0,1.0,D,1.0,0.0,H,A Marriner,8.0,8.0,3.0,4.0,12.0,10.0,6.0,5.0,2.0,3.0,0.0,0.0,3.1,3.2,2.45
14.0,22.0,6148,03/10/2021,Crystal Palace,Leicester,2.0,2.0,D,0.0,2.0,A,A Taylor,18.0,9.0,4.0,5.0,15.0,11.0,1.0,3.0,2.0,3.0,0.0,0.0,3.1,3.4,2.3
1.0,14.0,6161,18/10/2021,Arsenal,Crystal Palace,2.0,2.0,D,1.0,0.0,H,M Dean,17.0,9.0,6.0,6.0,7.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,1.6,3.8,6.0
14.0,28.0,6164,23/10/2021,Crystal Palace,Newcastle,1.0,1.0,D,0.0,0.0,D,D England,15.0,6.0,3.0,2.0,13.0,9.0,3.0,7.0,3.0,4.0,0.0,0.0,1.9,3.6,4.0
25.0,14.0,6175,30/10/2021,Man City,Crystal Palace,0.0,2.0,A,0.0,1.0,A,A Marriner,14.0,8.0,3.0,3.0,11.0,11.0,7.0,1.0,2.0,3.0,1.0,0.0,1.14,8.0,19.0
14.0,44.0,6186,06/11/2021,Crystal Palace,Wolves,2.0,0.0,H,0.0,0.0,D,G Scott,13.0,4.0,6.0,2.0,14.0,13.0,4.0,6.0,2.0,1.0,0.0,0.0,2.45,3.2,3.0
10.0,14.0,6194,20/11/2021,Burnley,Crystal Palace,3.0,3.0,D,2.0,3.0,A,S Hooper,15.0,18.0,9.0,8.0,14.0,15.0,3.0,6.0,2.0,3.0,0.0,0.0,2.7,3.2,2.7
14.0,2.0,6203,27/11/2021,Crystal Palace,Aston Villa,1.0,2.0,A,0.0,1.0,A,M Salisbury,8.0,10.0,3.0,3.0,12.0,10.0,7.0,3.0,3.0,3.0,0.0,0.0,2.2,3.4,3.3
21.0,14.0,6212,30/11/2021,Leeds,Crystal Palace,1.0,0.0,H,0.0,0.0,D,K Friend,15.0,9.0,3.0,1.0,15.0,15.0,7.0,4.0,5.0,3.0,0.0,0.0,2.4,3.3,3.0
26.0,14.0,6227,05/12/2021,Man United,Crystal Palace,1.0,0.0,H,0.0,0.0,D,C Pawson,16.0,8.0,3.0,2.0,16.0,9.0,9.0,6.0,2.0,2.0,0.0,0.0,1.5,4.33,6.5
14.0,16.0,6239,12/12/2021,Crystal Palace,Everton,3.0,1.0,H,1.0,0.0,H,A Madley,17.0,12.0,6.0,6.0,15.0,14.0,8.0,2.0,0.0,2.0,0.0,0.0,2.3,3.2,3.3
14.0,35.0,6243,15/12/2021,Crystal Palace,Southampton,2.0,2.0,D,1.0,2.0,A,S Hooper,9.0,15.0,6.0,4.0,16.0,20.0,4.0,6.0,2.0,4.0,0.0,0.0,2.15,3.3,3.5
39.0,14.0,6253,26/12/2021,Tottenham,Crystal Palace,3.0,0.0,H,2.0,0.0,H,J Moss,17.0,4.0,6.0,0.0,16.0,10.0,4.0,2.0,1.0,1.0,0.0,1.0,1.72,3.8,4.75
14.0,29.0,6258,28/12/2021,Crystal Palace,Norwich,3.0,0.0,H,3.0,0.0,H,P Tierney,19.0,12.0,6.0,3.0,9.0,13.0,8.0,8.0,1.0,2.0,0.0,0.0,1.65,3.75,5.5
14.0,42.0,6267,01/01/2022,Crystal Palace,West Ham,2.0,3.0,A,0.0,3.0,A,D England,22.0,10.0,6.0,5.0,6.0,16.0,9.0,1.0,0.0,2.0,0.0,0.0,3.1,3.4,2.3
9.0,14.0,6275,14/01/2022,Brighton,Crystal Palace,1.0,1.0,D,0.0,0.0,D,R Jones,19.0,3.0,4.0,1.0,11.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,2.05,3.3,3.8
14.0,23.0,6293,23/01/2022,Crystal Palace,Liverpool,1.0,3.0,A,0.0,2.0,A,K Friend,8.0,15.0,5.0,7.0,12.0,10.0,2.0,5.0,4.0,1.0,0.0,0.0,6.0,4.2,1.53
