homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
16.0,17.0,6846,12/08/2023,Everton,Fulham,0.0,1.0,A,0.0,0.0,D,S Attwell,19.0,9.0,9.0,2.0,12.0,6.0,10.0,4.0,0.0,2.0,0.0,0.0,2.2,3.4,3.3
2.0,16.0,6858,20/08/2023,Aston Villa,Everton,4.0,0.0,H,2.0,0.0,H,A Taylor,13.0,9.0,7.0,2.0,8.0,12.0,7.0,6.0,3.0,4.0,0.0,0.0,1.7,4.0,4.5
16.0,44.0,6865,26/08/2023,Everton,Wolves,0.0,1.0,A,0.0,0.0,D,C Pawson,15.0,11.0,7.0,2.0,10.0,14.0,7.0,0.0,3.0,4.0,0.0,0.0,2.3,3.3,3.2
34.0,16.0,6872,02/09/2023,Sheffield United,Everton,2.0,2.0,D,2.0,1.0,H,A Madley,13.0,16.0,8.0,6.0,11.0,13.0,4.0,6.0,1.0,2.0,0.0,0.0,2.9,3.25,2.5
16.0,1.0,6889,17/09/2023,Everton,Arsenal,0.0,1.0,A,0.0,0.0,D,S Hooper,8.0,13.0,1.0,4.0,12.0,10.0,1.0,11.0,1.0,1.0,0.0,0.0,6.0,4.5,1.5
8.0,16.0,6894,23/09/2023,Brentford,Everton,1.0,3.0,A,1.0,1.0,D,M Oliver,12.0,18.0,2.0,6.0,9.0,12.0,1.0,4.0,2.0,2.0,0.0,0.0,1.8,3.8,4.2
16.0,24.0,6903,30/09/2023,Everton,Luton,1.0,2.0,A,1.0,2.0,A,A Taylor,23.0,9.0,5.0,2.0,8.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0,1.57,3.8,6.5
16.0,7.0,6914,07/10/2023,Everton,Bournemouth,3.0,0.0,H,2.0,0.0,H,D Coote,25.0,11.0,8.0,4.0,14.0,15.0,8.0,7.0,1.0,2.0,0.0,0.0,1.91,3.6,3.8
23.0,16.0,6922,21/10/2023,Liverpool,Everton,2.0,0.0,H,0.0,0.0,D,C Pawson,26.0,6.0,6.0,1.0,9.0,9.0,12.0,4.0,1.0,1.0,0.0,1.0,1.33,5.75,7.5
42.0,16.0,6937,29/10/2023,West Ham,Everton,0.0,1.0,A,0.0,0.0,D,S Attwell,12.0,10.0,2.0,4.0,7.0,11.0,4.0,3.0,4.0,1.0,0.0,0.0,2.15,3.5,3.3
16.0,9.0,6945,04/11/2023,Everton,Brighton,1.0,1.0,D,1.0,0.0,H,T Robinson,10.0,7.0,4.0,2.0,15.0,5.0,3.0,3.0,4.0,2.0,0.0,0.0,3.1,3.6,2.2
14.0,16.0,6954,11/11/2023,Crystal Palace,Everton,2.0,3.0,A,1.0,1.0,D,S Barrott,13.0,8.0,4.0,4.0,9.0,18.0,9.0,2.0,1.0,4.0,0.0,0.0,2.45,3.2,3.0
16.0,26.0,6970,26/11/2023,Everton,Man United,0.0,3.0,A,0.0,1.0,A,J Brooks,24.0,9.0,6.0,4.0,10.0,8.0,6.0,5.0,3.0,0.0,0.0,0.0,2.7,3.4,2.55
30.0,16.0,6975,02/12/2023,Nott'm Forest,Everton,0.0,1.0,A,0.0,0.0,D,P Tierney,13.0,12.0,2.0,3.0,15.0,14.0,4.0,3.0,1.0,0.0,0.0,0.0,2.75,3.25,2.6
16.0,28.0,6990,07/12/2023,Everton,Newcastle,3.0,0.0,H,0.0,0.0,D,T Robinson,21.0,13.0,6.0,3.0,18.0,8.0,5.0,2.0,3.0,0.0,0.0,0.0,3.25,3.25,2.25
16.0,13.0,6998,10/12/2023,Everton,Chelsea,2.0,0.0,H,0.0,0.0,D,M Oliver,9.0,16.0,5.0,4.0,12.0,12.0,4.0,8.0,2.0,2.0,0.0,0.0,3.1,3.5,2.25
10.0,16.0,7006,16/12/2023,Burnley,Everton,0.0,2.0,A,0.0,2.0,A,A Taylor,14.0,9.0,2.0,6.0,9.0,8.0,8.0,6.0,0.0,1.0,0.0,0.0,3.6,3.4,2.1
39.0,16.0,7017,23/12/2023,Tottenham,Everton,2.0,1.0,H,2.0,0.0,H,S Attwell,13.0,18.0,6.0,8.0,6.0,18.0,3.0,8.0,1.0,4.0,0.0,0.0,1.75,4.2,4.0
