homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
13.0,19.0,1524,15/08/2009,Chelsea,Hull,2.0,1.0,H,1.0,1.0,D,A Wiley,26.0,7.0,12.0,3.0,13.0,15.0,12.0,4.0,1.0,2.0,0.0,0.0,1.17,6.5,21.0
19.0,39.0,1535,19/08/2009,Hull,Tottenham,1.0,5.0,A,1.0,3.0,A,C Foy,9.0,18.0,7.0,12.0,23.0,13.0,6.0,5.0,3.0,2.0,0.0,0.0,3.75,3.5,2.0
19.0,6.0,1539,22/08/2009,Hull,Bolton,1.0,0.0,H,0.0,0.0,D,M Jones,12.0,20.0,5.0,10.0,19.0,19.0,4.0,12.0,3.0,2.0,0.0,0.0,2.6,3.25,2.8
44.0,19.0,1553,29/08/2009,Wolves,Hull,1.0,1.0,D,0.0,1.0,A,S Attwell,24.0,5.0,17.0,4.0,11.0,15.0,8.0,2.0,0.0,2.0,0.0,0.0,2.1,3.3,3.6
37.0,19.0,1562,12/09/2009,Sunderland,Hull,4.0,1.0,H,1.0,1.0,D,M Atkinson,7.0,6.0,4.0,5.0,18.0,15.0,7.0,8.0,2.0,2.0,0.0,0.0,1.75,3.5,5.0
19.0,3.0,1571,19/09/2009,Hull,Birmingham,0.0,1.0,A,0.0,0.0,D,P Dowd,16.0,14.0,11.0,9.0,15.0,13.0,10.0,8.0,0.0,2.0,0.0,0.0,2.4,3.25,3.0
23.0,19.0,1580,26/09/2009,Liverpool,Hull,6.0,1.0,H,2.0,1.0,H,P Walton,22.0,7.0,14.0,3.0,10.0,3.0,13.0,2.0,1.0,4.0,0.0,0.0,1.14,7.5,23.0
19.0,43.0,1589,03/10/2009,Hull,Wigan,2.0,1.0,H,0.0,0.0,D,M Clattenburg,11.0,13.0,6.0,5.0,14.0,8.0,4.0,2.0,0.0,2.0,0.0,0.0,2.88,3.3,2.5
17.0,19.0,1606,19/10/2009,Fulham,Hull,2.0,0.0,H,1.0,0.0,H,A Marriner,17.0,5.0,11.0,2.0,13.0,15.0,7.0,4.0,1.0,1.0,0.0,0.0,1.67,3.6,5.5
19.0,31.0,1610,24/10/2009,Hull,Portsmouth,0.0,0.0,D,0.0,0.0,D,S Attwell,7.0,8.0,3.0,2.0,16.0,23.0,6.0,6.0,2.0,1.0,0.0,0.0,2.6,3.2,2.8
10.0,19.0,1619,31/10/2009,Burnley,Hull,2.0,0.0,H,1.0,0.0,H,M Jones,11.0,8.0,5.0,6.0,12.0,13.0,8.0,1.0,1.0,4.0,0.0,1.0,1.91,3.4,4.2
19.0,36.0,1634,08/11/2009,Hull,Stoke,2.0,1.0,H,0.0,1.0,A,M Dean,16.0,7.0,8.0,4.0,12.0,14.0,4.0,2.0,1.0,4.0,0.0,1.0,2.75,3.3,2.6
19.0,42.0,1641,21/11/2009,Hull,West Ham,3.0,3.0,D,3.0,2.0,H,M Clattenburg,12.0,16.0,8.0,10.0,9.0,17.0,5.0,3.0,0.0,4.0,1.0,0.0,2.88,3.25,2.5
19.0,16.0,1649,25/11/2009,Hull,Everton,3.0,2.0,H,3.0,0.0,H,M Atkinson,8.0,5.0,7.0,3.0,18.0,23.0,3.0,4.0,1.0,4.0,0.0,0.0,3.5,3.3,2.15
25.0,19.0,1653,28/11/2009,Man City,Hull,1.0,1.0,D,1.0,0.0,H,L Probert,17.0,8.0,7.0,3.0,14.0,12.0,8.0,2.0,1.0,3.0,0.0,0.0,1.29,5.5,11.0
2.0,19.0,1661,05/12/2009,Aston Villa,Hull,3.0,0.0,H,2.0,0.0,H,S Attwell,13.0,5.0,6.0,1.0,15.0,15.0,9.0,3.0,4.0,3.0,0.0,0.0,1.44,4.33,7.5
19.0,4.0,1674,12/12/2009,Hull,Blackburn,0.0,0.0,D,0.0,0.0,D,C Foy,9.0,14.0,7.0,9.0,14.0,19.0,3.0,4.0,1.0,2.0,0.0,0.0,2.8,3.25,2.6
1.0,19.0,1688,19/12/2009,Arsenal,Hull,3.0,0.0,H,1.0,0.0,H,S Bennett,18.0,6.0,9.0,2.0,9.0,14.0,8.0,0.0,1.0,5.0,0.0,0.0,1.22,6.0,15.0
19.0,26.0,1706,27/12/2009,Hull,Man United,1.0,3.0,A,0.0,1.0,A,A Wiley,12.0,19.0,6.0,11.0,13.0,17.0,5.0,6.0,0.0,2.0,0.0,0.0,8.0,4.2,1.4
6.0,19.0,1714,29/12/2009,Bolton,Hull,2.0,2.0,D,1.0,0.0,H,P Dowd,16.0,12.0,6.0,7.0,14.0,18.0,8.0,8.0,1.0,2.0,0.0,0.0,1.8,3.6,4.75
39.0,19.0,1725,16/01/2010,Tottenham,Hull,0.0,0.0,D,0.0,0.0,D,M Atkinson,25.0,8.0,18.0,2.0,14.0,11.0,14.0,1.0,4.0,2.0,0.0,0.0,1.25,6.0,11.0
26.0,19.0,1732,23/01/2010,Man United,Hull,4.0,0.0,H,1.0,0.0,H,S Bennett,25.0,8.0,15.0,4.0,6.0,10.0,12.0,8.0,1.0,1.0,0.0,0.0,1.14,6.5,15.0
19.0,44.0,1744,30/01/2010,Hull,Wolves,2.0,2.0,D,1.0,0.0,H,M Dean,8.0,13.0,4.0,4.0,15.0,10.0,4.0,7.0,2.0,0.0,0.0,0.0,2.25,3.25,3.25
19.0,13.0,1751,02/02/2010,Hull,Chelsea,1.0,1.0,D,1.0,1.0,D,M Clattenburg,7.0,21.0,3.0,11.0,9.0,12.0,6.0,8.0,1.0,3.0,0.0,0.0,13.0,5.0,1.29
19.0,25.0,1755,06/02/2010,Hull,Man City,2.0,1.0,H,1.0,0.0,H,P Dowd,8.0,17.0,4.0,11.0,14.0,14.0,4.0,8.0,2.0,4.0,0.0,0.0,5.5,3.4,1.73
4.0,19.0,1769,10/02/2010,Blackburn,Hull,1.0,0.0,H,1.0,0.0,H,L Probert,20.0,7.0,10.0,4.0,14.0,13.0,6.0,6.0,1.0,3.0,0.0,1.0,1.83,3.5,4.5
42.0,19.0,1778,20/02/2010,West Ham,Hull,3.0,0.0,H,1.0,0.0,H,M Atkinson,20.0,7.0,12.0,3.0,13.0,12.0,9.0,2.0,1.0,1.0,0.0,1.0,1.75,3.6,4.75
16.0,19.0,1797,07/03/2010,Everton,Hull,5.0,1.0,H,2.0,1.0,H,L Mason,18.0,7.0,10.0,4.0,12.0,21.0,4.0,1.0,0.0,1.0,0.0,0.0,1.36,4.5,10.0
19.0,1.0,1806,13/03/2010,Hull,Arsenal,1.0,2.0,A,1.0,1.0,D,A Marriner,7.0,18.0,2.0,9.0,16.0,13.0,2.0,8.0,2.0,2.0,1.0,0.0,7.5,4.5,1.4
