homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
21.0,16.0,7611,18/08/2025,Leeds,Everton,1.0,0.0,H,0.0,0.0,D,C Kavanagh,21.0,7.0,3.0,1.0,6.0,8.0,7.0,2.0,0.0,2.0,0.0,0.0,2.38,3.3,3.0
1.0,21.0,7617,23/08/2025,Arsenal,Leeds,5.0,0.0,H,2.0,0.0,H,J Gillett,18.0,3.0,5.0,1.0,8.0,11.0,2.0,2.0,0.0,2.0,0.0,0.0,1.27,6.25,9.5
21.0,28.0,7627,30/08/2025,Leeds,Newcastle,0.0,0.0,D,0.0,0.0,D,P Bankes,10.0,8.0,1.0,2.0,10.0,15.0,5.0,5.0,1.0,1.0,0.0,0.0,3.5,3.4,2.1
17.0,21.0,7636,13/09/2025,Fulham,Leeds,1.0,0.0,H,0.0,0.0,D,C Pawson,5.0,10.0,3.0,3.0,20.0,15.0,3.0,3.0,1.0,2.0,0.0,0.0,1.91,3.5,4.0
44.0,21.0,7646,20/09/2025,Wolves,Leeds,1.0,3.0,A,1.0,3.0,A,A Taylor,16.0,6.0,6.0,4.0,11.0,9.0,4.0,0.0,1.0,1.0,0.0,0.0,2.7,3.2,2.75
21.0,7.0,7655,27/09/2025,Leeds,Bournemouth,2.0,2.0,D,1.0,1.0,D,M Oliver,19.0,12.0,8.0,5.0,12.0,13.0,7.0,4.0,2.0,2.0,0.0,0.0,3.1,3.25,2.38
21.0,39.0,7663,04/10/2025,Leeds,Tottenham,1.0,2.0,A,1.0,1.0,D,T Bramall,16.0,9.0,4.0,3.0,10.0,12.0,4.0,1.0,2.0,3.0,0.0,0.0,2.7,3.5,2.5
10.0,21.0,7674,18/10/2025,Burnley,Leeds,2.0,0.0,H,1.0,0.0,H,T Robinson,4.0,19.0,3.0,4.0,10.0,7.0,1.0,5.0,2.0,1.0,0.0,0.0,3.25,3.25,2.25
21.0,42.0,7682,24/10/2025,Leeds,West Ham,2.0,1.0,H,2.0,0.0,H,S Attwell,13.0,9.0,5.0,3.0,12.0,11.0,3.0,4.0,3.0,3.0,0.0,0.0,1.8,3.5,4.75
26.0,21.0,6083,14/08/2021,Man United,Leeds,5.0,1.0,H,1.0,0.0,H,P Tierney,16.0,10.0,8.0,3.0,11.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,1.53,4.5,5.75
