homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
10.0,25.0,6842,11/08/2023,Burnley,Man City,0.0,3.0,A,0.0,2.0,A,C Pawson,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,8.0,5.5,1.33
25.0,28.0,6857,19/08/2023,Man City,Newcastle,1.0,0.0,H,1.0,0.0,H,R Jones,14.0,7.0,4.0,1.0,12.0,11.0,3.0,0.0,1.0,5.0,0.0,0.0,1.67,4.0,5.0
34.0,25.0,6869,27/08/2023,Sheffield United,Man City,1.0,2.0,A,0.0,0.0,D,J Gillett,6.0,30.0,2.0,9.0,11.0,2.0,1.0,12.0,3.0,0.0,0.0,0.0,13.0,8.0,1.17
25.0,17.0,6876,02/09/2023,Man City,Fulham,5.0,1.0,H,2.0,1.0,H,M Oliver,7.0,6.0,5.0,4.0,12.0,12.0,4.0,5.0,2.0,4.0,0.0,0.0,1.17,8.0,15.0
42.0,25.0,6886,16/09/2023,West Ham,Man City,1.0,3.0,A,1.0,0.0,H,A Madley,6.0,29.0,3.0,15.0,7.0,11.0,4.0,11.0,3.0,2.0,0.0,0.0,7.0,4.5,1.45
25.0,30.0,6893,23/09/2023,Man City,Nott'm Forest,2.0,0.0,H,2.0,0.0,H,A Taylor,7.0,10.0,4.0,3.0,5.0,17.0,6.0,6.0,3.0,7.0,1.0,0.0,1.14,8.5,15.0
44.0,25.0,6907,30/09/2023,Wolves,Man City,2.0,1.0,H,1.0,0.0,H,C Pawson,3.0,23.0,1.0,8.0,18.0,12.0,0.0,6.0,5.0,4.0,0.0,0.0,8.0,5.75,1.33
1.0,25.0,6921,08/10/2023,Arsenal,Man City,1.0,0.0,H,0.0,0.0,D,M Oliver,12.0,4.0,2.0,1.0,8.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,2.9,3.3,2.4
25.0,9.0,6925,21/10/2023,Man City,Brighton,2.0,1.0,H,2.0,0.0,H,R Jones,10.0,5.0,6.0,3.0,9.0,11.0,2.0,2.0,2.0,2.0,1.0,0.0,1.4,5.25,6.5
26.0,25.0,6941,29/10/2023,Man United,Man City,0.0,3.0,A,0.0,1.0,A,P Tierney,7.0,21.0,3.0,10.0,9.0,4.0,7.0,12.0,4.0,1.0,0.0,0.0,5.0,3.8,1.67
25.0,7.0,6946,04/11/2023,Man City,Bournemouth,6.0,1.0,H,3.0,0.0,H,C Pawson,21.0,5.0,8.0,1.0,8.0,9.0,12.0,1.0,0.0,1.0,0.0,0.0,1.1,11.0,19.0
13.0,25.0,6961,12/11/2023,Chelsea,Man City,4.0,4.0,D,2.0,2.0,D,A Taylor,17.0,15.0,9.0,10.0,12.0,15.0,3.0,3.0,5.0,3.0,0.0,0.0,5.0,3.7,1.73
25.0,23.0,6962,25/11/2023,Man City,Liverpool,1.0,1.0,D,1.0,0.0,H,C Kavanagh,16.0,8.0,5.0,3.0,9.0,11.0,9.0,6.0,1.0,3.0,0.0,0.0,1.73,4.2,4.2
25.0,39.0,6981,03/12/2023,Man City,Tottenham,3.0,3.0,D,2.0,1.0,H,S Hooper,18.0,8.0,4.0,4.0,14.0,14.0,10.0,8.0,4.0,4.0,0.0,0.0,1.29,6.0,9.0
2.0,25.0,6988,06/12/2023,Aston Villa,Man City,1.0,0.0,H,0.0,0.0,D,J Brooks,22.0,2.0,7.0,2.0,13.0,13.0,6.0,0.0,2.0,2.0,0.0,0.0,4.75,4.2,1.7
24.0,25.0,7000,10/12/2023,Luton,Man City,1.0,2.0,A,1.0,0.0,H,T Robinson,4.0,18.0,2.0,6.0,16.0,6.0,6.0,3.0,2.0,1.0,0.0,0.0,17.0,8.0,1.14
25.0,14.0,7004,16/12/2023,Man City,Crystal Palace,2.0,2.0,D,1.0,0.0,H,P Tierney,19.0,5.0,9.0,2.0,12.0,9.0,6.0,1.0,1.0,1.0,0.0,0.0,1.18,8.0,13.0
16.0,25.0,7027,27/12/2023,Everton,Man City,1.0,3.0,A,1.0,0.0,H,J Brooks,7.0,23.0,2.0,9.0,13.0,5.0,8.0,4.0,4.0,2.0,0.0,0.0,5.75,4.0,1.57
25.0,34.0,7033,30/12/2023,Man City,Sheffield United,2.0,0.0,H,1.0,0.0,H,D Coote,18.0,4.0,4.0,2.0,5.0,6.0,12.0,2.0,1.0,1.0,0.0,0.0,1.08,11.0,29.0
28.0,25.0,7042,13/01/2024,Newcastle,Man City,2.0,3.0,A,2.0,1.0,H,C Kavanagh,12.0,27.0,5.0,11.0,7.0,7.0,3.0,13.0,1.0,2.0,0.0,0.0,5.5,4.33,1.55
25.0,10.0,7055,31/01/2024,Man City,Burnley,3.0,1.0,H,2.0,0.0,H,S Barrott,14.0,8.0,4.0,3.0,3.0,13.0,7.0,3.0,2.0,2.0,0.0,0.0,1.08,12.0,21.0
8.0,25.0,7069,05/02/2024,Brentford,Man City,1.0,3.0,A,1.0,1.0,D,J Gillett,9.0,25.0,3.0,15.0,2.0,4.0,8.0,13.0,1.0,0.0,0.0,0.0,7.0,4.75,1.4
25.0,16.0,7070,10/02/2024,Man City,Everton,2.0,0.0,H,0.0,0.0,D,J Brooks,19.0,5.0,3.0,1.0,6.0,11.0,9.0,0.0,0.0,2.0,0.0,0.0,1.18,8.0,13.0
25.0,13.0,7086,17/02/2024,Man City,Chelsea,1.0,1.0,D,0.0,1.0,A,A Madley,31.0,9.0,5.0,6.0,7.0,12.0,12.0,1.0,1.0,3.0,0.0,0.0,1.33,5.5,8.0
25.0,8.0,7090,20/02/2024,Man City,Brentford,1.0,0.0,H,0.0,0.0,D,D England,25.0,6.0,11.0,2.0,12.0,6.0,10.0,1.0,2.0,4.0,0.0,0.0,1.18,8.0,13.0
7.0,25.0,7096,24/02/2024,Bournemouth,Man City,0.0,1.0,A,0.0,1.0,A,J Gillett,13.0,15.0,4.0,6.0,14.0,6.0,3.0,8.0,2.0,2.0,0.0,0.0,7.0,5.25,1.4
25.0,26.0,7108,03/03/2024,Man City,Man United,3.0,1.0,H,0.0,1.0,A,A Madley,27.0,3.0,8.0,1.0,5.0,10.0,15.0,2.0,0.0,1.0,0.0,0.0,1.25,5.75,11.0
23.0,25.0,7118,10/03/2024,Liverpool,Man City,1.0,1.0,D,0.0,1.0,A,M Oliver,19.0,10.0,6.0,6.0,6.0,10.0,7.0,4.0,0.0,3.0,0.0,0.0,3.0,3.75,2.2
25.0,1.0,7134,31/03/2024,Man City,Arsenal,0.0,0.0,D,0.0,0.0,D,A Taylor,12.0,6.0,1.0,2.0,9.0,20.0,7.0,4.0,0.0,2.0,0.0,0.0,1.91,3.8,3.8
25.0,2.0,7142,03/04/2024,Man City,Aston Villa,4.0,1.0,H,2.0,1.0,H,D England,25.0,8.0,11.0,3.0,6.0,13.0,2.0,3.0,1.0,2.0,0.0,0.0,1.3,6.0,8.0
14.0,25.0,7145,06/04/2024,Crystal Palace,Man City,2.0,4.0,A,1.0,1.0,D,P Tierney,7.0,18.0,4.0,8.0,13.0,3.0,2.0,9.0,1.0,1.0,0.0,0.0,9.5,5.25,1.33
25.0,24.0,7158,13/04/2024,Man City,Luton,5.0,1.0,H,1.0,0.0,H,J Brooks,33.0,4.0,13.0,2.0,7.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,1.1,11.0,19.0
9.0,25.0,7177,25/04/2024,Brighton,Man City,0.0,4.0,A,0.0,3.0,A,J Gillett,7.0,14.0,3.0,6.0,10.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,6.5,5.0,1.4
30.0,25.0,7187,28/04/2024,Nott'm Forest,Man City,0.0,2.0,A,0.0,1.0,A,S Hooper,14.0,11.0,2.0,5.0,8.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,6.0,1.3
25.0,44.0,7194,04/05/2024,Man City,Wolves,5.0,1.0,H,3.0,0.0,H,C Pawson,20.0,2.0,12.0,1.0,4.0,17.0,6.0,0.0,0.0,4.0,0.0,0.0,1.08,12.0,21.0
