homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
26.0,44.0,6851,14/08/2023,Man United,Wolves,1.0,0.0,H,0.0,0.0,D,S Hooper,15.0,23.0,3.0,6.0,14.0,10.0,8.0,7.0,2.0,3.0,0.0,0.0,1.33,5.5,9.0
39.0,26.0,6856,19/08/2023,Tottenham,Man United,2.0,0.0,H,0.0,0.0,D,M Oliver,17.0,22.0,6.0,6.0,9.0,8.0,5.0,6.0,1.0,3.0,0.0,0.0,2.8,3.6,2.38
26.0,30.0,6866,26/08/2023,Man United,Nott'm Forest,3.0,2.0,H,1.0,2.0,A,S Attwell,18.0,9.0,9.0,4.0,13.0,11.0,11.0,3.0,4.0,4.0,0.0,1.0,1.3,6.0,8.0
1.0,26.0,6880,03/09/2023,Arsenal,Man United,3.0,1.0,H,1.0,1.0,D,A Taylor,17.0,10.0,5.0,2.0,8.0,7.0,12.0,3.0,2.0,3.0,0.0,0.0,1.75,3.8,4.5
26.0,9.0,6884,16/09/2023,Man United,Brighton,1.0,3.0,A,0.0,1.0,A,J Gillett,14.0,10.0,4.0,8.0,8.0,9.0,8.0,1.0,2.0,2.0,0.0,0.0,2.15,4.0,2.88
10.0,26.0,6895,23/09/2023,Burnley,Man United,0.0,1.0,A,0.0,1.0,A,T Harrington,12.0,11.0,4.0,4.0,6.0,12.0,9.0,5.0,1.0,2.0,0.0,0.0,4.2,4.2,1.73
26.0,14.0,6904,30/09/2023,Man United,Crystal Palace,0.0,1.0,A,0.0,1.0,A,C Kavanagh,19.0,8.0,4.0,2.0,10.0,8.0,10.0,4.0,3.0,2.0,0.0,0.0,1.55,4.2,5.75
26.0,8.0,6916,07/10/2023,Man United,Brentford,2.0,1.0,H,0.0,1.0,A,A Madley,21.0,11.0,8.0,3.0,10.0,17.0,7.0,5.0,0.0,5.0,0.0,0.0,1.67,4.2,4.75
34.0,26.0,6929,21/10/2023,Sheffield United,Man United,1.0,2.0,A,1.0,1.0,D,M Oliver,12.0,14.0,6.0,5.0,12.0,10.0,5.0,4.0,3.0,1.0,0.0,0.0,6.5,5.25,1.4
26.0,25.0,6941,29/10/2023,Man United,Man City,0.0,3.0,A,0.0,1.0,A,P Tierney,7.0,21.0,3.0,10.0,9.0,4.0,7.0,12.0,4.0,1.0,0.0,0.0,5.0,3.8,1.67
17.0,26.0,6942,04/11/2023,Fulham,Man United,0.0,1.0,A,0.0,0.0,D,J Brooks,18.0,12.0,3.0,5.0,9.0,15.0,9.0,4.0,5.0,2.0,0.0,0.0,3.2,3.6,2.2
26.0,24.0,6955,11/11/2023,Man United,Luton,1.0,0.0,H,0.0,0.0,D,G Scott,15.0,10.0,4.0,4.0,9.0,11.0,11.0,3.0,0.0,2.0,0.0,0.0,1.33,5.25,9.5
16.0,26.0,6970,26/11/2023,Everton,Man United,0.0,3.0,A,0.0,1.0,A,J Brooks,24.0,9.0,6.0,4.0,10.0,8.0,6.0,5.0,3.0,0.0,0.0,0.0,2.7,3.4,2.55
28.0,26.0,6976,02/12/2023,Newcastle,Man United,1.0,0.0,H,0.0,0.0,D,R Jones,22.0,8.0,4.0,1.0,6.0,13.0,7.0,3.0,1.0,2.0,0.0,0.0,1.91,3.75,3.8
26.0,13.0,6989,06/12/2023,Man United,Chelsea,2.0,1.0,H,1.0,1.0,D,C Kavanagh,28.0,13.0,9.0,3.0,12.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,2.88,3.4,2.45
26.0,7.0,6994,09/12/2023,Man United,Bournemouth,0.0,3.0,A,0.0,1.0,A,P Bankes,20.0,10.0,3.0,4.0,7.0,10.0,10.0,4.0,3.0,1.0,0.0,0.0,1.55,4.33,5.75
23.0,26.0,7010,17/12/2023,Liverpool,Man United,0.0,0.0,D,0.0,0.0,D,M Oliver,34.0,6.0,8.0,1.0,13.0,8.0,12.0,0.0,2.0,4.0,0.0,1.0,1.3,6.0,8.0
42.0,26.0,7013,23/12/2023,West Ham,Man United,2.0,0.0,H,0.0,0.0,D,S Hooper,12.0,11.0,5.0,3.0,13.0,15.0,4.0,4.0,2.0,3.0,0.0,0.0,2.6,3.6,2.6
26.0,2.0,7024,26/12/2023,Man United,Aston Villa,3.0,2.0,H,0.0,2.0,A,C Pawson,13.0,10.0,7.0,4.0,10.0,10.0,3.0,6.0,1.0,3.0,0.0,0.0,2.6,3.5,2.6
30.0,26.0,7035,30/12/2023,Nott'm Forest,Man United,2.0,1.0,H,0.0,0.0,D,T Robinson,8.0,10.0,2.0,5.0,9.0,11.0,4.0,5.0,2.0,4.0,0.0,0.0,3.2,3.6,2.15
26.0,39.0,7044,14/01/2024,Man United,Tottenham,2.0,2.0,D,2.0,1.0,H,J Brooks,9.0,16.0,2.0,6.0,8.0,5.0,8.0,13.0,2.0,1.0,0.0,0.0,2.2,3.75,3.0
44.0,26.0,7059,01/02/2024,Wolves,Man United,3.0,4.0,A,0.0,2.0,A,J Gillett,16.0,21.0,7.0,8.0,10.0,10.0,4.0,5.0,2.0,5.0,0.0,0.0,2.63,3.6,2.55
26.0,42.0,7067,04/02/2024,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,A Madley,12.0,22.0,5.0,3.0,10.0,5.0,5.0,8.0,0.0,1.0,0.0,0.0,1.62,4.2,5.0
