homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
28.0,2.0,6848,12/08/2023,Newcastle,Aston Villa,5.0,1.0,H,2.0,1.0,H,A Madley,17.0,16.0,13.0,6.0,12.0,17.0,6.0,5.0,4.0,4.0,0.0,0.0,1.75,3.75,4.6
25.0,28.0,6857,19/08/2023,Man City,Newcastle,1.0,0.0,H,1.0,0.0,H,R Jones,14.0,7.0,4.0,1.0,12.0,11.0,3.0,0.0,1.0,5.0,0.0,0.0,1.67,4.0,5.0
28.0,23.0,6870,27/08/2023,Newcastle,Liverpool,1.0,2.0,A,1.0,0.0,H,J Brooks,23.0,9.0,8.0,4.0,16.0,10.0,5.0,9.0,1.0,2.0,0.0,1.0,2.2,3.75,3.0
9.0,28.0,6877,02/09/2023,Brighton,Newcastle,3.0,1.0,H,1.0,0.0,H,S Attwell,15.0,9.0,6.0,2.0,14.0,17.0,5.0,3.0,4.0,4.0,0.0,0.0,2.5,3.8,2.55
28.0,8.0,6887,16/09/2023,Newcastle,Brentford,1.0,0.0,H,0.0,0.0,D,C Pawson,9.0,11.0,2.0,2.0,8.0,12.0,8.0,3.0,3.0,5.0,0.0,0.0,1.53,4.2,6.0
34.0,28.0,6900,24/09/2023,Sheffield United,Newcastle,0.0,8.0,A,0.0,3.0,A,S Attwell,9.0,22.0,1.0,15.0,12.0,8.0,2.0,6.0,3.0,0.0,0.0,0.0,7.0,4.75,1.44
28.0,10.0,6905,30/09/2023,Newcastle,Burnley,2.0,0.0,H,1.0,0.0,H,T Bramall,20.0,8.0,8.0,2.0,7.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,1.3,5.75,9.0
42.0,28.0,6919,08/10/2023,West Ham,Newcastle,2.0,2.0,D,1.0,0.0,H,P Bankes,5.0,10.0,3.0,3.0,11.0,18.0,4.0,2.0,3.0,3.0,0.0,0.0,3.2,3.75,2.1
28.0,14.0,6926,21/10/2023,Newcastle,Crystal Palace,4.0,0.0,H,3.0,0.0,H,T Robinson,10.0,17.0,7.0,3.0,7.0,12.0,6.0,8.0,2.0,3.0,0.0,0.0,1.45,4.5,7.0
44.0,28.0,6936,28/10/2023,Wolves,Newcastle,2.0,2.0,D,1.0,2.0,A,A Taylor,11.0,13.0,6.0,5.0,13.0,15.0,8.0,7.0,1.0,4.0,0.0,0.0,4.2,4.0,1.75
28.0,1.0,6948,04/11/2023,Newcastle,Arsenal,1.0,0.0,H,0.0,0.0,D,S Attwell,9.0,14.0,2.0,1.0,14.0,9.0,0.0,11.0,5.0,1.0,0.0,0.0,2.8,3.2,2.6
7.0,28.0,6956,11/11/2023,Bournemouth,Newcastle,2.0,0.0,H,0.0,0.0,D,C Kavanagh,19.0,8.0,10.0,5.0,10.0,4.0,6.0,5.0,2.0,1.0,0.0,0.0,4.75,4.0,1.73
28.0,13.0,6965,25/11/2023,Newcastle,Chelsea,4.0,1.0,H,1.0,1.0,D,S Hooper,14.0,7.0,5.0,4.0,13.0,19.0,4.0,2.0,4.0,4.0,0.0,1.0,2.55,3.5,2.63
28.0,26.0,6976,02/12/2023,Newcastle,Man United,1.0,0.0,H,0.0,0.0,D,R Jones,22.0,8.0,4.0,1.0,6.0,13.0,7.0,3.0,1.0,2.0,0.0,0.0,1.91,3.75,3.8
16.0,28.0,6990,07/12/2023,Everton,Newcastle,3.0,0.0,H,0.0,0.0,D,T Robinson,21.0,13.0,6.0,3.0,18.0,8.0,5.0,2.0,3.0,0.0,0.0,0.0,3.25,3.25,2.25
39.0,28.0,7001,10/12/2023,Tottenham,Newcastle,4.0,1.0,H,2.0,0.0,H,C Kavanagh,23.0,9.0,12.0,3.0,10.0,12.0,3.0,6.0,1.0,3.0,0.0,0.0,2.15,3.8,3.1
28.0,17.0,7005,16/12/2023,Newcastle,Fulham,3.0,0.0,H,0.0,0.0,D,S Barrott,27.0,6.0,10.0,4.0,7.0,12.0,5.0,1.0,0.0,2.0,0.0,1.0,1.8,3.8,4.0
24.0,28.0,7015,23/12/2023,Luton,Newcastle,1.0,0.0,H,1.0,0.0,H,D England,16.0,15.0,5.0,2.0,11.0,5.0,6.0,7.0,2.0,1.0,0.0,0.0,4.75,4.2,1.65
28.0,30.0,7020,26/12/2023,Newcastle,Nott'm Forest,1.0,3.0,A,1.0,1.0,D,C Kavanagh,19.0,15.0,7.0,6.0,10.0,11.0,10.0,2.0,3.0,3.0,0.0,0.0,1.5,4.33,5.75
23.0,28.0,7038,01/01/2024,Liverpool,Newcastle,4.0,2.0,H,0.0,0.0,D,A Taylor,34.0,5.0,15.0,3.0,16.0,15.0,7.0,3.0,3.0,5.0,0.0,0.0,1.45,4.5,7.0
28.0,25.0,7042,13/01/2024,Newcastle,Man City,2.0,3.0,A,2.0,1.0,H,C Kavanagh,12.0,27.0,5.0,11.0,7.0,7.0,3.0,13.0,1.0,2.0,0.0,0.0,5.5,4.33,1.55
2.0,28.0,7054,30/01/2024,Aston Villa,Newcastle,1.0,3.0,A,0.0,2.0,A,J Brooks,12.0,14.0,6.0,5.0,14.0,12.0,8.0,7.0,4.0,1.0,0.0,0.0,1.85,4.0,3.8
28.0,24.0,7063,03/02/2024,Newcastle,Luton,4.0,4.0,D,2.0,2.0,D,T Bramall,19.0,11.0,6.0,8.0,13.0,16.0,8.0,2.0,2.0,2.0,0.0,0.0,1.44,4.75,6.5
30.0,28.0,7076,10/02/2024,Nott'm Forest,Newcastle,2.0,3.0,A,2.0,2.0,D,A Taylor,13.0,7.0,3.0,5.0,9.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0,3.3,3.75,2.05
28.0,7.0,7083,17/02/2024,Newcastle,Bournemouth,2.0,2.0,D,0.0,0.0,D,M Salisbury,17.0,12.0,5.0,7.0,9.0,22.0,4.0,2.0,1.0,3.0,0.0,0.0,1.83,4.2,3.75
1.0,28.0,7097,24/02/2024,Arsenal,Newcastle,4.0,1.0,H,2.0,0.0,H,P Tierney,18.0,3.0,8.0,2.0,15.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,1.36,5.25,8.0
28.0,44.0,7103,02/03/2024,Newcastle,Wolves,3.0,0.0,H,2.0,0.0,H,T Robinson,14.0,12.0,7.0,3.0,8.0,11.0,3.0,5.0,0.0,1.0,0.0,0.0,1.91,4.0,3.6
13.0,28.0,7119,11/03/2024,Chelsea,Newcastle,3.0,2.0,H,1.0,1.0,D,J Brooks,12.0,11.0,8.0,3.0,12.0,7.0,0.0,4.0,3.0,1.0,0.0,0.0,1.91,4.0,3.6
28.0,42.0,7125,30/03/2024,Newcastle,West Ham,4.0,3.0,H,1.0,2.0,A,R Jones,24.0,10.0,9.0,4.0,9.0,8.0,3.0,4.0,1.0,1.0,1.0,0.0,1.83,4.2,3.8
28.0,16.0,7135,02/04/2024,Newcastle,Everton,1.0,1.0,D,1.0,0.0,H,T Harrington,18.0,10.0,6.0,3.0,9.0,14.0,7.0,3.0,0.0,3.0,0.0,0.0,2.0,3.75,3.5
17.0,28.0,7148,06/04/2024,Fulham,Newcastle,0.0,1.0,A,0.0,0.0,D,S Allison,14.0,12.0,4.0,5.0,10.0,13.0,14.0,3.0,1.0,2.0,0.0,0.0,2.38,3.8,2.8
28.0,39.0,7155,13/04/2024,Newcastle,Tottenham,4.0,0.0,H,2.0,0.0,H,T Robinson,18.0,11.0,5.0,2.0,14.0,12.0,16.0,3.0,0.0,4.0,0.0,0.0,2.7,4.0,2.3
