homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
29.0,23.0,6089,14/08/2021,Norwich,Liverpool,0.0,3.0,A,0.0,1.0,A,A Marriner,14.0,19.0,3.0,8.0,4.0,14.0,3.0,11.0,1.0,1.0,0.0,0.0,9.0,5.75,1.3
25.0,29.0,6096,21/08/2021,Man City,Norwich,5.0,0.0,H,2.0,0.0,H,G Scott,16.0,1.0,4.0,0.0,13.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,1.08,11.0,26.0
29.0,22.0,6106,28/08/2021,Norwich,Leicester,1.0,2.0,A,1.0,1.0,D,R Jones,14.0,9.0,4.0,3.0,8.0,9.0,9.0,9.0,2.0,1.0,0.0,0.0,4.5,3.5,1.85
1.0,29.0,6113,11/09/2021,Arsenal,Norwich,1.0,0.0,H,0.0,0.0,D,M Oliver,30.0,10.0,7.0,1.0,9.0,11.0,8.0,4.0,1.0,2.0,0.0,0.0,1.5,4.6,6.0
29.0,40.0,6127,18/09/2021,Norwich,Watford,1.0,3.0,A,1.0,1.0,D,R Jones,12.0,12.0,5.0,8.0,10.0,14.0,4.0,8.0,1.0,1.0,0.0,0.0,2.15,3.3,3.5
16.0,29.0,6134,25/09/2021,Everton,Norwich,2.0,0.0,H,1.0,0.0,H,D Coote,11.0,10.0,4.0,2.0,12.0,9.0,6.0,4.0,2.0,3.0,0.0,0.0,1.61,3.8,5.75
10.0,29.0,6143,02/10/2021,Burnley,Norwich,0.0,0.0,D,0.0,0.0,D,K Friend,14.0,10.0,4.0,2.0,13.0,3.0,9.0,5.0,5.0,2.0,0.0,0.0,1.85,3.6,4.33
29.0,9.0,6156,16/10/2021,Norwich,Brighton,0.0,0.0,D,0.0,0.0,D,P Bankes,15.0,11.0,3.0,3.0,5.0,14.0,8.0,4.0,3.0,5.0,0.0,0.0,3.6,3.4,2.1
13.0,29.0,6163,23/10/2021,Chelsea,Norwich,7.0,0.0,H,3.0,0.0,H,A Madley,23.0,3.0,13.0,1.0,14.0,16.0,5.0,0.0,0.0,2.0,0.0,1.0,1.18,7.0,15.0
29.0,21.0,6179,31/10/2021,Norwich,Leeds,1.0,2.0,A,0.0,0.0,D,A Taylor,14.0,13.0,3.0,6.0,14.0,23.0,5.0,0.0,1.0,4.0,0.0,0.0,3.4,3.5,2.1
8.0,29.0,6184,06/11/2021,Brentford,Norwich,1.0,2.0,A,0.0,2.0,A,J Gillett,19.0,9.0,7.0,5.0,12.0,13.0,6.0,2.0,2.0,3.0,0.0,0.0,1.6,4.0,5.75
