homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
15.0,31.0,763,11/08/2007,Derby,Portsmouth,2.0,2.0,D,1.0,1.0,D,M Dean,12.0,12.0,5.0,6.0,14.0,17.0,6.0,6.0,1.0,2.0,0.0,0.0,2.8,3.25,2.4
31.0,26.0,775,15/08/2007,Portsmouth,Man United,1.0,1.0,D,0.0,1.0,A,S Bennett,7.0,20.0,6.0,12.0,13.0,5.0,6.0,12.0,2.0,1.0,1.0,1.0,5.5,3.6,1.61
31.0,6.0,781,18/08/2007,Portsmouth,Bolton,3.0,1.0,H,2.0,1.0,H,S Tanner,11.0,8.0,6.0,3.0,13.0,11.0,10.0,6.0,0.0,2.0,0.0,0.0,1.83,3.3,4.33
13.0,31.0,791,25/08/2007,Chelsea,Portsmouth,1.0,0.0,H,1.0,0.0,H,A Wiley,18.0,18.0,7.0,4.0,16.0,12.0,4.0,6.0,0.0,2.0,0.0,0.0,1.28,5.0,10.0
1.0,31.0,805,02/09/2007,Arsenal,Portsmouth,3.0,1.0,H,2.0,0.0,H,M Halsey,10.0,15.0,8.0,10.0,6.0,12.0,8.0,5.0,1.0,2.0,1.0,0.0,1.5,3.75,7.0
31.0,23.0,811,15/09/2007,Portsmouth,Liverpool,0.0,0.0,D,0.0,0.0,D,M Riley,9.0,12.0,2.0,6.0,20.0,14.0,5.0,4.0,3.0,2.0,0.0,0.0,5.0,3.5,1.72
4.0,31.0,824,23/09/2007,Blackburn,Portsmouth,0.0,1.0,A,0.0,1.0,A,C Foy,9.0,13.0,3.0,7.0,6.0,16.0,7.0,4.0,0.0,3.0,0.0,0.0,1.9,3.3,4.2
31.0,33.0,832,29/09/2007,Portsmouth,Reading,7.0,4.0,H,2.0,1.0,H,M Halsey,25.0,13.0,17.0,7.0,4.0,7.0,8.0,4.0,1.0,1.0,0.0,0.0,1.72,3.4,5.5
17.0,31.0,843,07/10/2007,Fulham,Portsmouth,0.0,2.0,A,0.0,0.0,D,H Webb,13.0,14.0,10.0,8.0,7.0,17.0,8.0,5.0,1.0,0.0,0.0,0.0,2.62,3.25,2.75
43.0,31.0,855,20/10/2007,Wigan,Portsmouth,0.0,2.0,A,0.0,0.0,D,P Walton,7.0,15.0,0.0,8.0,9.0,9.0,3.0,2.0,2.0,3.0,0.0,0.0,3.1,3.25,2.37
31.0,42.0,861,27/10/2007,Portsmouth,West Ham,0.0,0.0,D,0.0,0.0,D,M Dean,10.0,10.0,3.0,3.0,18.0,9.0,11.0,5.0,2.0,4.0,0.0,0.0,1.8,3.5,4.75
28.0,31.0,874,03/11/2007,Newcastle,Portsmouth,1.0,4.0,A,1.0,3.0,A,C Foy,14.0,10.0,7.0,7.0,15.0,15.0,4.0,5.0,2.0,2.0,0.0,0.0,2.1,3.3,3.6
31.0,25.0,885,11/11/2007,Portsmouth,Man City,0.0,0.0,D,0.0,0.0,D,M Halsey,20.0,10.0,12.0,5.0,11.0,7.0,9.0,1.0,1.0,1.0,0.0,0.0,2.0,3.4,3.8
3.0,31.0,889,24/11/2007,Birmingham,Portsmouth,0.0,2.0,A,0.0,1.0,A,M Atkinson,4.0,15.0,3.0,8.0,17.0,21.0,4.0,3.0,3.0,2.0,0.0,0.0,3.2,3.3,2.3
31.0,16.0,902,01/12/2007,Portsmouth,Everton,0.0,0.0,D,0.0,0.0,D,P Walton,20.0,4.0,6.0,2.0,14.0,13.0,9.0,0.0,1.0,2.0,0.0,0.0,2.2,3.25,3.4
2.0,31.0,910,08/12/2007,Aston Villa,Portsmouth,1.0,3.0,A,0.0,2.0,A,M Riley,14.0,12.0,6.0,8.0,18.0,23.0,7.0,5.0,2.0,5.0,0.0,0.0,2.1,3.3,3.6
31.0,39.0,924,15/12/2007,Portsmouth,Tottenham,0.0,1.0,A,0.0,0.0,D,M Atkinson,9.0,12.0,5.0,5.0,22.0,13.0,4.0,4.0,3.0,2.0,0.0,0.0,2.2,3.25,3.4
23.0,31.0,934,22/12/2007,Liverpool,Portsmouth,4.0,1.0,H,2.0,0.0,H,M Riley,14.0,9.0,7.0,3.0,13.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,1.5,4.0,7.0
31.0,1.0,944,26/12/2007,Portsmouth,Arsenal,0.0,0.0,D,0.0,0.0,D,S Bennett,9.0,12.0,6.0,6.0,15.0,9.0,4.0,7.0,2.0,1.0,0.0,0.0,4.5,3.5,1.83
31.0,27.0,953,29/12/2007,Portsmouth,Middlesbrough,0.0,1.0,A,0.0,1.0,A,A Wiley,18.0,13.0,9.0,7.0,10.0,17.0,4.0,4.0,1.0,4.0,0.0,0.0,1.66,3.6,5.5
33.0,31.0,965,01/01/2008,Reading,Portsmouth,0.0,2.0,A,0.0,1.0,A,M Dean,9.0,18.0,5.0,13.0,10.0,6.0,5.0,4.0,3.0,1.0,1.0,0.0,2.87,3.3,2.5
37.0,31.0,979,13/01/2008,Sunderland,Portsmouth,2.0,0.0,H,2.0,0.0,H,C Foy,12.0,9.0,5.0,5.0,14.0,6.0,7.0,5.0,3.0,1.0,0.0,0.0,2.75,3.25,2.62
31.0,15.0,984,19/01/2008,Portsmouth,Derby,3.0,1.0,H,2.0,1.0,H,M Dean,18.0,8.0,8.0,5.0,14.0,9.0,6.0,2.0,1.0,2.0,0.0,0.0,1.44,4.2,8.0
26.0,31.0,998,30/01/2008,Man United,Portsmouth,2.0,0.0,H,2.0,0.0,H,M Atkinson,25.0,3.0,14.0,3.0,9.0,11.0,5.0,3.0,0.0,1.0,0.0,0.0,1.25,5.5,13.0
31.0,13.0,1004,02/02/2008,Portsmouth,Chelsea,1.0,1.0,D,0.0,0.0,D,H Webb,17.0,20.0,6.0,12.0,13.0,12.0,4.0,8.0,2.0,0.0,0.0,0.0,5.25,3.5,1.72
6.0,31.0,1011,09/02/2008,Bolton,Portsmouth,0.0,1.0,A,0.0,0.0,D,P Walton,19.0,7.0,10.0,4.0,12.0,14.0,5.0,2.0,1.0,1.0,0.0,0.0,2.5,3.25,2.87
31.0,37.0,1024,23/02/2008,Portsmouth,Sunderland,1.0,0.0,H,0.0,0.0,D,P Dowd,17.0,5.0,10.0,2.0,13.0,13.0,5.0,3.0,1.0,2.0,0.0,0.0,1.61,3.75,6.0
16.0,31.0,1038,02/03/2008,Everton,Portsmouth,3.0,1.0,H,1.0,1.0,D,A Marriner,13.0,9.0,5.0,5.0,12.0,18.0,10.0,3.0,1.0,1.0,0.0,0.0,1.83,3.5,4.5
31.0,3.0,1048,12/03/2008,Portsmouth,Birmingham,4.0,2.0,H,2.0,2.0,D,S Tanner,13.0,7.0,9.0,5.0,8.0,10.0,4.0,3.0,0.0,1.0,0.0,0.0,1.83,3.5,4.5
31.0,2.0,1052,15/03/2008,Portsmouth,Aston Villa,2.0,0.0,H,2.0,0.0,H,C Foy,13.0,16.0,5.0,10.0,17.0,13.0,3.0,6.0,3.0,1.0,1.0,1.0,2.37,3.25,3.1
39.0,31.0,1068,22/03/2008,Tottenham,Portsmouth,2.0,0.0,H,0.0,0.0,D,P Dowd,17.0,4.0,8.0,4.0,8.0,13.0,7.0,2.0,0.0,1.0,0.0,0.0,1.9,3.5,4.0
31.0,43.0,1075,29/03/2008,Portsmouth,Wigan,2.0,0.0,H,1.0,0.0,H,A Wiley,12.0,17.0,7.0,9.0,10.0,13.0,5.0,4.0,1.0,2.0,0.0,0.0,1.8,3.6,4.5
42.0,31.0,1090,08/04/2008,West Ham,Portsmouth,0.0,1.0,A,0.0,0.0,D,L Probert,10.0,18.0,8.0,9.0,16.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,2.25,3.3,3.25
31.0,28.0,1094,12/04/2008,Portsmouth,Newcastle,0.0,0.0,D,0.0,0.0,D,P Dowd,17.0,14.0,8.0,5.0,11.0,8.0,2.0,11.0,1.0,1.0,0.0,0.0,2.2,3.3,3.4
25.0,31.0,1109,20/04/2008,Man City,Portsmouth,3.0,1.0,H,2.0,1.0,H,A Marriner,16.0,12.0,10.0,6.0,7.0,6.0,6.0,3.0,1.0,1.0,0.0,1.0,2.37,3.3,3.0
31.0,4.0,1119,27/04/2008,Portsmouth,Blackburn,0.0,1.0,A,0.0,0.0,D,M Riley,15.0,12.0,6.0,9.0,20.0,12.0,8.0,7.0,2.0,2.0,0.0,0.0,2.1,3.3,3.6
27.0,31.0,1126,03/05/2008,Middlesbrough,Portsmouth,2.0,0.0,H,1.0,0.0,H,P Walton,11.0,13.0,7.0,8.0,16.0,11.0,7.0,5.0,1.0,1.0,0.0,0.0,2.0,3.5,3.75
31.0,17.0,1136,11/05/2008,Portsmouth,Fulham,0.0,1.0,A,0.0,0.0,D,M Clattenburg,15.0,7.0,10.0,4.0,13.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,3.3,3.6,2.1
31.0,17.0,1526,15/08/2009,Portsmouth,Fulham,0.0,1.0,A,0.0,1.0,A,M Atkinson,16.0,9.0,4.0,3.0,11.0,18.0,6.0,4.0,3.0,2.0,0.0,0.0,2.63,3.2,2.75
3.0,31.0,1533,19/08/2009,Birmingham,Portsmouth,1.0,0.0,H,0.0,0.0,D,L Probert,9.0,9.0,5.0,4.0,11.0,20.0,4.0,5.0,0.0,5.0,0.0,0.0,2.0,3.3,4.0
1.0,31.0,1537,22/08/2009,Arsenal,Portsmouth,4.0,1.0,H,2.0,1.0,H,S Bennett,19.0,9.0,16.0,4.0,9.0,10.0,8.0,4.0,1.0,0.0,0.0,0.0,1.17,7.0,19.0
31.0,25.0,1556,30/08/2009,Portsmouth,Man City,0.0,1.0,A,0.0,1.0,A,H Webb,11.0,12.0,6.0,8.0,12.0,7.0,3.0,11.0,2.0,1.0,0.0,0.0,6.5,3.8,1.57
31.0,6.0,1560,12/09/2009,Portsmouth,Bolton,2.0,3.0,A,1.0,2.0,A,C Foy,21.0,14.0,11.0,6.0,17.0,17.0,7.0,5.0,2.0,0.0,0.0,0.0,2.6,3.2,2.8
2.0,31.0,1568,19/09/2009,Aston Villa,Portsmouth,2.0,0.0,H,2.0,0.0,H,S Attwell,7.0,17.0,5.0,12.0,17.0,12.0,7.0,5.0,2.0,0.0,0.0,0.0,1.4,4.2,10.0
31.0,16.0,1581,26/09/2009,Portsmouth,Everton,0.0,1.0,A,0.0,1.0,A,A Wiley,16.0,12.0,12.0,8.0,14.0,17.0,5.0,6.0,0.0,3.0,0.0,0.0,4.2,3.4,1.91
44.0,31.0,1591,03/10/2009,Wolves,Portsmouth,0.0,1.0,A,0.0,1.0,A,H Webb,11.0,12.0,5.0,8.0,8.0,12.0,8.0,6.0,1.0,2.0,0.0,0.0,2.0,3.4,3.8
31.0,39.0,1601,17/10/2009,Portsmouth,Tottenham,1.0,2.0,A,0.0,2.0,A,P Dowd,23.0,9.0,13.0,4.0,14.0,13.0,10.0,9.0,3.0,3.0,1.0,1.0,4.5,3.5,1.83
19.0,31.0,1610,24/10/2009,Hull,Portsmouth,0.0,0.0,D,0.0,0.0,D,S Attwell,7.0,8.0,3.0,2.0,16.0,23.0,6.0,6.0,2.0,1.0,0.0,0.0,2.6,3.2,2.8
31.0,43.0,1623,31/10/2009,Portsmouth,Wigan,4.0,0.0,H,2.0,0.0,H,A Wiley,21.0,8.0,11.0,3.0,11.0,10.0,7.0,4.0,0.0,1.0,0.0,0.0,2.38,3.3,3.0
4.0,31.0,1629,07/11/2009,Blackburn,Portsmouth,3.0,1.0,H,0.0,1.0,A,A Marriner,10.0,9.0,6.0,3.0,12.0,18.0,8.0,5.0,3.0,3.0,0.0,0.0,2.1,3.4,3.6
36.0,31.0,1646,22/11/2009,Stoke,Portsmouth,1.0,0.0,H,0.0,0.0,D,K Friend,9.0,14.0,3.0,7.0,15.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0,2.1,3.4,3.5
