homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
32.0,19.0,3424,16/08/2014,QPR,Hull,0.0,1.0,A,0.0,0.0,D,C Pawson,19.0,11.0,6.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,2.5,3.3,3.1
39.0,32.0,3439,24/08/2014,Tottenham,QPR,4.0,0.0,H,3.0,0.0,H,A Taylor,18.0,9.0,5.0,1.0,12.0,6.0,7.0,6.0,0.0,1.0,0.0,0.0,1.45,4.75,8.0
32.0,37.0,3445,30/08/2014,QPR,Sunderland,1.0,0.0,H,1.0,0.0,H,R Madley,18.0,16.0,5.0,6.0,8.0,9.0,4.0,6.0,1.0,2.0,0.0,0.0,2.4,3.25,3.3
26.0,32.0,3459,14/09/2014,Man United,QPR,4.0,0.0,H,3.0,0.0,H,P Dowd,19.0,9.0,9.0,2.0,11.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,1.29,6.25,12.0
32.0,36.0,3464,20/09/2014,QPR,Stoke,2.0,2.0,D,1.0,1.0,D,M Atkinson,21.0,8.0,5.0,4.0,6.0,15.0,10.0,1.0,2.0,4.0,0.0,0.0,2.8,3.25,2.8
35.0,32.0,3477,27/09/2014,Southampton,QPR,2.0,1.0,H,0.0,0.0,D,M Clattenburg,19.0,10.0,9.0,2.0,12.0,11.0,6.0,3.0,2.0,1.0,0.0,0.0,1.44,4.6,8.5
42.0,32.0,3490,05/10/2014,West Ham,QPR,2.0,0.0,H,1.0,0.0,H,A Taylor,11.0,10.0,3.0,3.0,10.0,11.0,7.0,5.0,2.0,2.0,0.0,0.0,1.91,3.6,4.5
32.0,23.0,3498,19/10/2014,QPR,Liverpool,2.0,3.0,A,0.0,0.0,D,P Dowd,15.0,15.0,6.0,5.0,10.0,15.0,7.0,2.0,2.0,3.0,0.0,0.0,6.0,4.2,1.6
32.0,2.0,3510,27/10/2014,QPR,Aston Villa,2.0,0.0,H,1.0,0.0,H,L Mason,11.0,15.0,4.0,6.0,11.0,14.0,2.0,4.0,0.0,2.0,0.0,0.0,2.38,3.25,3.4
13.0,32.0,3512,01/11/2014,Chelsea,QPR,2.0,1.0,H,1.0,0.0,H,M Jones,18.0,7.0,8.0,1.0,8.0,12.0,13.0,2.0,0.0,0.0,0.0,0.0,1.17,8.5,21.0
32.0,25.0,3524,08/11/2014,QPR,Man City,2.0,2.0,D,1.0,1.0,D,M Dean,17.0,23.0,4.0,6.0,9.0,10.0,7.0,7.0,4.0,2.0,0.0,0.0,7.0,4.75,1.5
28.0,32.0,3536,22/11/2014,Newcastle,QPR,1.0,0.0,H,0.0,0.0,D,C Foy,14.0,13.0,6.0,4.0,12.0,15.0,16.0,7.0,2.0,3.0,0.0,0.0,1.83,3.75,4.75
32.0,22.0,3544,29/11/2014,QPR,Leicester,3.0,2.0,H,2.0,1.0,H,R East,32.0,19.0,6.0,5.0,8.0,17.0,11.0,5.0,3.0,2.0,0.0,0.0,2.38,3.4,3.25
38.0,32.0,3555,02/12/2014,Swansea,QPR,2.0,0.0,H,0.0,0.0,D,K Friend,18.0,5.0,7.0,1.0,8.0,12.0,9.0,2.0,2.0,2.0,0.0,0.0,1.73,3.8,5.5
32.0,10.0,3565,06/12/2014,QPR,Burnley,2.0,0.0,H,0.0,0.0,D,J Moss,11.0,15.0,6.0,3.0,12.0,12.0,3.0,11.0,1.0,1.0,1.0,0.0,2.05,3.5,4.0
16.0,32.0,3580,15/12/2014,Everton,QPR,3.0,1.0,H,2.0,0.0,H,N Swarbrick,13.0,17.0,5.0,4.0,11.0,12.0,1.0,8.0,1.0,1.0,0.0,0.0,1.45,4.5,8.5
32.0,41.0,3584,20/12/2014,QPR,West Brom,3.0,2.0,H,1.0,2.0,A,C Pawson,17.0,16.0,7.0,6.0,16.0,8.0,5.0,11.0,1.0,0.0,0.0,0.0,2.45,3.3,3.2
1.0,32.0,3591,26/12/2014,Arsenal,QPR,2.0,1.0,H,1.0,0.0,H,M Atkinson,15.0,16.0,5.0,2.0,6.0,15.0,6.0,2.0,1.0,4.0,1.0,0.0,1.29,6.0,13.0
32.0,14.0,3605,28/12/2014,QPR,Crystal Palace,0.0,0.0,D,0.0,0.0,D,M Jones,11.0,10.0,3.0,3.0,11.0,17.0,9.0,4.0,2.0,1.0,0.0,0.0,2.38,3.4,3.25
32.0,38.0,3616,01/01/2015,QPR,Swansea,1.0,1.0,D,1.0,0.0,H,A Taylor,24.0,25.0,6.0,6.0,22.0,5.0,4.0,9.0,4.0,0.0,0.0,1.0,3.0,3.4,2.5
10.0,32.0,3621,10/01/2015,Burnley,QPR,2.0,1.0,H,2.0,1.0,H,A Marriner,18.0,17.0,7.0,7.0,14.0,9.0,10.0,6.0,2.0,2.0,0.0,0.0,2.2,3.4,3.6
32.0,26.0,3635,17/01/2015,QPR,Man United,0.0,2.0,A,0.0,0.0,D,N Swarbrick,18.0,12.0,4.0,7.0,12.0,10.0,3.0,3.0,3.0,2.0,0.0,0.0,6.0,4.2,1.62
36.0,32.0,3646,31/01/2015,Stoke,QPR,3.0,1.0,H,2.0,1.0,H,M Dean,15.0,14.0,3.0,4.0,11.0,12.0,3.0,5.0,2.0,2.0,0.0,0.0,1.65,4.0,6.0
32.0,35.0,3655,07/02/2015,QPR,Southampton,0.0,1.0,A,0.0,0.0,D,R East,12.0,16.0,3.0,5.0,13.0,16.0,3.0,4.0,2.0,2.0,0.0,0.0,4.75,3.6,1.85
37.0,32.0,3664,10/02/2015,Sunderland,QPR,0.0,2.0,A,0.0,2.0,A,M Atkinson,16.0,19.0,5.0,4.0,8.0,12.0,8.0,4.0,2.0,3.0,0.0,0.0,1.91,3.6,4.5
19.0,32.0,3674,21/02/2015,Hull,QPR,2.0,1.0,H,1.0,1.0,D,A Taylor,16.0,8.0,6.0,3.0,18.0,16.0,5.0,7.0,0.0,4.0,0.0,1.0,2.05,3.3,4.2
32.0,1.0,3695,04/03/2015,QPR,Arsenal,1.0,2.0,A,0.0,0.0,D,K Friend,10.0,20.0,3.0,9.0,10.0,8.0,1.0,6.0,2.0,1.0,0.0,0.0,7.0,4.33,1.53
32.0,39.0,3699,07/03/2015,QPR,Tottenham,1.0,2.0,A,0.0,1.0,A,C Pawson,17.0,13.0,6.0,6.0,15.0,12.0,3.0,5.0,1.0,2.0,0.0,0.0,4.75,3.9,1.8
14.0,32.0,3702,14/03/2015,Crystal Palace,QPR,3.0,1.0,H,3.0,0.0,H,L Mason,15.0,11.0,4.0,4.0,17.0,16.0,6.0,3.0,1.0,3.0,0.0,0.0,1.83,3.75,4.75
32.0,16.0,3719,22/03/2015,QPR,Everton,1.0,2.0,A,0.0,1.0,A,J Moss,14.0,8.0,1.0,3.0,11.0,12.0,1.0,3.0,2.0,1.0,0.0,0.0,3.3,3.4,2.15
41.0,32.0,3726,04/04/2015,West Brom,QPR,1.0,4.0,A,0.0,3.0,A,L Probert,21.0,12.0,6.0,7.0,6.0,15.0,2.0,4.0,2.0,3.0,1.0,0.0,1.8,3.5,4.5
2.0,32.0,3730,07/04/2015,Aston Villa,QPR,3.0,3.0,D,2.0,1.0,H,C Pawson,21.0,11.0,7.0,5.0,8.0,12.0,7.0,3.0,0.0,4.0,0.0,0.0,2.15,3.4,3.8
32.0,13.0,3739,12/04/2015,QPR,Chelsea,0.0,1.0,A,0.0,0.0,D,A Marriner,15.0,9.0,4.0,1.0,12.0,6.0,5.0,6.0,2.0,1.0,0.0,0.0,9.0,5.0,1.4
32.0,42.0,3752,25/04/2015,QPR,West Ham,0.0,0.0,D,0.0,0.0,D,M Jones,18.0,8.0,7.0,2.0,14.0,12.0,6.0,6.0,1.0,0.0,0.0,0.0,2.38,3.4,3.25
23.0,32.0,3762,02/05/2015,Liverpool,QPR,2.0,1.0,H,1.0,0.0,H,M Atkinson,25.0,10.0,8.0,2.0,9.0,18.0,9.0,6.0,2.0,3.0,0.0,1.0,1.36,5.25,10.0
25.0,32.0,3778,10/05/2015,Man City,QPR,6.0,0.0,H,2.0,0.0,H,M Dean,23.0,9.0,11.0,3.0,12.0,7.0,7.0,4.0,0.0,1.0,0.0,0.0,1.22,7.5,13.0
32.0,28.0,3782,16/05/2015,QPR,Newcastle,2.0,1.0,H,0.0,1.0,A,L Probert,8.0,22.0,4.0,8.0,12.0,8.0,3.0,12.0,2.0,0.0,0.0,0.0,3.1,3.5,2.4
22.0,32.0,3797,24/05/2015,Leicester,QPR,5.0,1.0,H,2.0,0.0,H,M Oliver,22.0,18.0,7.0,2.0,7.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,1.6,4.33,6.0
32.0,38.0,2664,18/08/2012,QPR,Swansea,0.0,5.0,A,0.0,1.0,A,L Probert,20.0,12.0,11.0,8.0,11.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,2.0,3.4,3.8
