homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
26.0,33.0,770,12/08/2007,Man United,Reading,0.0,0.0,D,0.0,0.0,D,R Styles,22.0,3.0,9.0,2.0,8.0,16.0,12.0,3.0,0.0,2.0,0.0,1.0,1.22,5.5,13.0
33.0,13.0,776,15/08/2007,Reading,Chelsea,1.0,2.0,A,1.0,0.0,H,M Dean,15.0,15.0,11.0,7.0,15.0,16.0,4.0,11.0,4.0,5.0,1.0,0.0,6.5,3.75,1.53
33.0,16.0,782,18/08/2007,Reading,Everton,1.0,0.0,H,1.0,0.0,H,S Bennett,10.0,13.0,5.0,5.0,14.0,8.0,4.0,12.0,2.0,2.0,0.0,0.0,2.5,3.25,2.7
6.0,33.0,790,25/08/2007,Bolton,Reading,3.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,5.0,12.0,2.0,10.0,7.0,10.0,7.0,2.0,1.0,0.0,0.0,2.25,3.2,3.0
33.0,42.0,804,01/09/2007,Reading,West Ham,0.0,3.0,A,0.0,1.0,A,H Webb,9.0,13.0,3.0,9.0,10.0,11.0,14.0,4.0,0.0,1.0,0.0,0.0,2.2,3.2,3.25
37.0,33.0,812,15/09/2007,Sunderland,Reading,2.0,1.0,H,1.0,0.0,H,S Tanner,14.0,10.0,8.0,4.0,14.0,18.0,9.0,9.0,1.0,2.0,0.0,0.0,2.25,3.25,3.2
33.0,43.0,822,22/09/2007,Reading,Wigan,2.0,1.0,H,1.0,0.0,H,K Stroud,15.0,9.0,7.0,5.0,17.0,13.0,6.0,7.0,3.0,2.0,0.0,0.0,2.1,3.2,3.6
31.0,33.0,832,29/09/2007,Portsmouth,Reading,7.0,4.0,H,2.0,1.0,H,M Halsey,25.0,13.0,17.0,7.0,4.0,7.0,8.0,4.0,1.0,1.0,0.0,0.0,1.72,3.4,5.5
33.0,15.0,847,07/10/2007,Reading,Derby,1.0,0.0,H,0.0,0.0,D,L Mason,11.0,7.0,3.0,0.0,9.0,18.0,3.0,3.0,1.0,1.0,0.0,0.0,1.72,3.6,5.0
4.0,33.0,850,20/10/2007,Blackburn,Reading,4.0,2.0,H,3.0,0.0,H,A Marriner,11.0,13.0,6.0,7.0,8.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,1.7,3.5,5.5
33.0,28.0,862,27/10/2007,Reading,Newcastle,2.0,1.0,H,0.0,0.0,D,P Dowd,12.0,6.0,5.0,2.0,14.0,10.0,5.0,8.0,0.0,1.0,0.0,0.0,2.75,3.25,2.5
17.0,33.0,872,03/11/2007,Fulham,Reading,3.0,1.0,H,1.0,0.0,H,M Clattenburg,9.0,13.0,7.0,6.0,11.0,6.0,8.0,9.0,3.0,0.0,1.0,0.0,2.2,3.25,3.4
33.0,1.0,887,12/11/2007,Reading,Arsenal,1.0,3.0,A,0.0,1.0,A,R Styles,8.0,16.0,5.0,7.0,9.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0,4.0,1.5
25.0,33.0,893,24/11/2007,Man City,Reading,2.0,1.0,H,1.0,1.0,D,S Tanner,13.0,5.0,9.0,3.0,12.0,15.0,2.0,7.0,0.0,2.0,0.0,0.0,1.57,3.75,6.5
33.0,27.0,903,01/12/2007,Reading,Middlesbrough,1.0,1.0,D,0.0,0.0,D,A Wiley,12.0,16.0,7.0,11.0,11.0,16.0,5.0,4.0,2.0,1.0,0.0,0.0,2.0,3.3,4.0
