homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
34.0,14.0,6847,12/08/2023,Sheffield United,Crystal Palace,0.0,1.0,A,0.0,0.0,D,J Brooks,8.0,24.0,1.0,8.0,18.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,3.3,2.38
30.0,34.0,6852,18/08/2023,Nott'm Forest,Sheffield United,2.0,1.0,H,1.0,0.0,H,P Bankes,16.0,7.0,4.0,3.0,5.0,9.0,6.0,7.0,2.0,3.0,0.0,0.0,1.95,3.4,4.0
34.0,25.0,6869,27/08/2023,Sheffield United,Man City,1.0,2.0,A,0.0,0.0,D,J Gillett,6.0,30.0,2.0,9.0,11.0,2.0,1.0,12.0,3.0,0.0,0.0,0.0,13.0,8.0,1.17
34.0,16.0,6872,02/09/2023,Sheffield United,Everton,2.0,2.0,D,2.0,1.0,H,A Madley,13.0,16.0,8.0,6.0,11.0,13.0,4.0,6.0,1.0,2.0,0.0,0.0,2.9,3.25,2.5
39.0,34.0,6885,16/09/2023,Tottenham,Sheffield United,2.0,1.0,H,0.0,0.0,D,P Bankes,28.0,7.0,10.0,5.0,13.0,14.0,15.0,2.0,6.0,5.0,0.0,1.0,1.29,5.5,11.0
34.0,28.0,6900,24/09/2023,Sheffield United,Newcastle,0.0,8.0,A,0.0,3.0,A,S Attwell,9.0,22.0,1.0,15.0,12.0,8.0,2.0,6.0,3.0,0.0,0.0,0.0,7.0,4.75,1.44
42.0,34.0,6906,30/09/2023,West Ham,Sheffield United,2.0,0.0,H,2.0,0.0,H,G Scott,20.0,16.0,9.0,2.0,6.0,9.0,7.0,4.0,1.0,1.0,0.0,0.0,1.45,4.5,7.0
17.0,34.0,6915,07/10/2023,Fulham,Sheffield United,3.0,1.0,H,0.0,0.0,D,S Barrott,20.0,5.0,6.0,2.0,8.0,10.0,9.0,4.0,1.0,2.0,0.0,0.0,1.62,3.8,6.0
34.0,26.0,6929,21/10/2023,Sheffield United,Man United,1.0,2.0,A,1.0,1.0,D,M Oliver,12.0,14.0,6.0,5.0,12.0,10.0,5.0,4.0,3.0,1.0,0.0,0.0,6.5,5.25,1.4
1.0,34.0,6934,28/10/2023,Arsenal,Sheffield United,5.0,0.0,H,1.0,0.0,H,T Robinson,13.0,2.0,8.0,0.0,9.0,13.0,6.0,1.0,0.0,3.0,0.0,0.0,1.13,8.5,19.0
34.0,44.0,6947,04/11/2023,Sheffield United,Wolves,2.0,1.0,H,0.0,0.0,D,R Jones,11.0,10.0,2.0,3.0,13.0,10.0,4.0,4.0,2.0,3.0,0.0,0.0,3.8,3.5,2.0
9.0,34.0,6958,12/11/2023,Brighton,Sheffield United,1.0,1.0,D,1.0,0.0,H,J Brooks,11.0,9.0,6.0,1.0,13.0,16.0,6.0,3.0,3.0,2.0,1.0,0.0,1.25,5.75,13.0
34.0,7.0,6967,25/11/2023,Sheffield United,Bournemouth,1.0,3.0,A,0.0,2.0,A,A Madley,10.0,23.0,2.0,11.0,6.0,8.0,4.0,7.0,4.0,1.0,0.0,0.0,3.2,3.5,2.2
10.0,34.0,6974,02/12/2023,Burnley,Sheffield United,5.0,0.0,H,2.0,0.0,H,C Kavanagh,19.0,6.0,7.0,3.0,9.0,12.0,6.0,1.0,2.0,5.0,0.0,1.0,1.8,3.6,4.5
34.0,23.0,6987,06/12/2023,Sheffield United,Liverpool,0.0,2.0,A,0.0,1.0,A,S Hooper,6.0,15.0,1.0,8.0,12.0,8.0,2.0,12.0,2.0,3.0,0.0,0.0,12.0,7.5,1.2
