homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
36.0,10.0,1527,15/08/2009,Stoke,Burnley,2.0,0.0,H,2.0,0.0,H,S Bennett,12.0,9.0,5.0,5.0,15.0,10.0,3.0,6.0,2.0,2.0,0.0,0.0,1.91,3.3,4.33
23.0,36.0,1536,19/08/2009,Liverpool,Stoke,4.0,0.0,H,2.0,0.0,H,P Walton,18.0,6.0,13.0,3.0,10.0,9.0,11.0,5.0,0.0,1.0,0.0,0.0,1.25,5.5,13.0
3.0,36.0,1538,22/08/2009,Birmingham,Stoke,0.0,0.0,D,0.0,0.0,D,C Foy,8.0,13.0,6.0,3.0,8.0,13.0,3.0,3.0,0.0,3.0,0.0,0.0,2.3,3.2,3.25
36.0,37.0,1551,29/08/2009,Stoke,Sunderland,1.0,0.0,H,1.0,0.0,H,M Jones,13.0,9.0,7.0,6.0,9.0,8.0,10.0,10.0,0.0,2.0,0.0,0.0,2.38,3.25,3.2
36.0,13.0,1561,12/09/2009,Stoke,Chelsea,1.0,2.0,A,1.0,1.0,D,M Dean,4.0,18.0,2.0,10.0,13.0,11.0,4.0,14.0,3.0,3.0,0.0,0.0,9.0,4.5,1.4
6.0,36.0,1569,19/09/2009,Bolton,Stoke,1.0,1.0,D,0.0,0.0,D,M Clattenburg,11.0,10.0,5.0,6.0,6.0,11.0,4.0,6.0,2.0,2.0,0.0,0.0,2.1,3.25,3.75
36.0,26.0,1582,26/09/2009,Stoke,Man United,0.0,2.0,A,0.0,0.0,D,H Webb,2.0,13.0,1.0,7.0,9.0,8.0,2.0,7.0,1.0,1.0,0.0,0.0,8.5,4.5,1.4
16.0,36.0,1594,04/10/2009,Everton,Stoke,1.0,1.0,D,0.0,0.0,D,A Marriner,24.0,8.0,17.0,6.0,5.0,15.0,11.0,4.0,1.0,3.0,0.0,0.0,1.57,4.0,6.0
36.0,42.0,1602,17/10/2009,Stoke,West Ham,2.0,1.0,H,1.0,1.0,D,M Atkinson,11.0,12.0,4.0,11.0,16.0,13.0,5.0,6.0,3.0,3.0,0.0,0.0,2.1,3.3,3.6
39.0,36.0,1611,24/10/2009,Tottenham,Stoke,0.0,1.0,A,0.0,0.0,D,L Probert,22.0,8.0,12.0,2.0,8.0,18.0,7.0,1.0,0.0,3.0,0.0,0.0,1.44,4.33,7.5
36.0,44.0,1624,31/10/2009,Stoke,Wolves,2.0,2.0,D,2.0,0.0,H,C Foy,10.0,11.0,5.0,7.0,13.0,15.0,4.0,3.0,0.0,3.0,0.0,0.0,1.91,3.4,4.2
19.0,36.0,1634,08/11/2009,Hull,Stoke,2.0,1.0,H,0.0,1.0,A,M Dean,16.0,7.0,8.0,4.0,12.0,14.0,4.0,2.0,1.0,4.0,0.0,1.0,2.75,3.3,2.6
36.0,31.0,1646,22/11/2009,Stoke,Portsmouth,1.0,0.0,H,0.0,0.0,D,K Friend,9.0,14.0,3.0,7.0,15.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0,2.1,3.4,3.5
4.0,36.0,1651,28/11/2009,Blackburn,Stoke,0.0,0.0,D,0.0,0.0,D,H Webb,11.0,7.0,4.0,4.0,12.0,11.0,9.0,2.0,1.0,2.0,0.0,0.0,1.91,3.4,4.2
1.0,36.0,1660,05/12/2009,Arsenal,Stoke,2.0,0.0,H,1.0,0.0,H,M Clattenburg,12.0,5.0,8.0,4.0,3.0,7.0,10.0,2.0,0.0,0.0,0.0,0.0,1.29,5.0,13.0
