homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
26.0,38.0,3423,16/08/2014,Man United,Swansea,1.0,2.0,A,0.0,1.0,A,M Dean,14.0,5.0,5.0,4.0,14.0,20.0,4.0,0.0,2.0,4.0,0.0,0.0,1.36,5.0,11.0
38.0,10.0,3436,23/08/2014,Swansea,Burnley,1.0,0.0,H,1.0,0.0,H,C Pawson,10.0,12.0,5.0,1.0,14.0,13.0,2.0,3.0,2.0,1.0,0.0,0.0,1.65,4.0,6.0
38.0,41.0,3446,30/08/2014,Swansea,West Brom,3.0,0.0,H,2.0,0.0,H,P Tierney,15.0,16.0,8.0,2.0,10.0,8.0,0.0,7.0,1.0,2.0,0.0,0.0,1.85,3.6,4.75
13.0,38.0,3452,13/09/2014,Chelsea,Swansea,4.0,2.0,H,1.0,1.0,D,K Friend,29.0,11.0,9.0,2.0,12.0,11.0,7.0,4.0,0.0,3.0,0.0,0.0,1.3,5.75,12.0
38.0,35.0,3465,20/09/2014,Swansea,Southampton,0.0,1.0,A,0.0,0.0,D,J Moss,5.0,11.0,2.0,4.0,11.0,15.0,2.0,4.0,0.0,4.0,1.0,0.0,2.5,3.3,3.1
37.0,38.0,3478,27/09/2014,Sunderland,Swansea,0.0,0.0,D,0.0,0.0,D,C Foy,15.0,7.0,3.0,1.0,13.0,15.0,10.0,1.0,2.0,1.0,0.0,1.0,2.9,3.3,2.63
38.0,28.0,3486,04/10/2014,Swansea,Newcastle,2.0,2.0,D,1.0,1.0,D,L Mason,11.0,9.0,5.0,4.0,11.0,15.0,3.0,1.0,1.0,3.0,0.0,0.0,1.91,3.7,4.33
36.0,38.0,3499,19/10/2014,Stoke,Swansea,2.0,1.0,H,1.0,1.0,D,M Oliver,17.0,13.0,3.0,5.0,17.0,7.0,3.0,5.0,4.0,1.0,0.0,0.0,2.5,3.3,3.1
38.0,22.0,3504,25/10/2014,Swansea,Leicester,2.0,0.0,H,1.0,0.0,H,M Jones,7.0,9.0,3.0,4.0,7.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1.95,3.7,4.2
16.0,38.0,3513,01/11/2014,Everton,Swansea,0.0,0.0,D,0.0,0.0,D,K Friend,17.0,8.0,3.0,0.0,10.0,15.0,11.0,0.0,2.0,3.0,0.0,1.0,1.75,3.8,5.25
38.0,1.0,3528,09/11/2014,Swansea,Arsenal,2.0,1.0,H,0.0,0.0,D,P Dowd,11.0,12.0,5.0,4.0,10.0,16.0,6.0,10.0,5.0,5.0,0.0,0.0,3.75,3.5,2.1
25.0,38.0,3535,22/11/2014,Man City,Swansea,2.0,1.0,H,1.0,1.0,D,N Swarbrick,23.0,8.0,10.0,3.0,13.0,9.0,7.0,3.0,2.0,1.0,0.0,0.0,1.4,5.25,8.5
38.0,14.0,3546,29/11/2014,Swansea,Crystal Palace,1.0,1.0,D,1.0,1.0,D,M Atkinson,18.0,11.0,4.0,5.0,6.0,12.0,4.0,6.0,0.0,2.0,0.0,0.0,1.8,3.75,5.0
38.0,32.0,3555,02/12/2014,Swansea,QPR,2.0,0.0,H,0.0,0.0,D,K Friend,18.0,5.0,7.0,1.0,8.0,12.0,9.0,2.0,2.0,2.0,0.0,0.0,1.73,3.8,5.5
42.0,38.0,3569,07/12/2014,West Ham,Swansea,3.0,1.0,H,1.0,1.0,D,C Foy,15.0,11.0,7.0,2.0,11.0,18.0,7.0,4.0,0.0,1.0,0.0,1.0,2.35,3.4,3.25
38.0,39.0,3579,14/12/2014,Swansea,Tottenham,1.0,2.0,A,0.0,1.0,A,R Madley,15.0,10.0,3.0,4.0,7.0,17.0,7.0,9.0,3.0,4.0,0.0,0.0,2.5,3.4,3.0
19.0,38.0,3582,20/12/2014,Hull,Swansea,0.0,1.0,A,0.0,1.0,A,M Clattenburg,11.0,13.0,3.0,3.0,14.0,16.0,4.0,5.0,2.0,2.0,0.0,0.0,3.1,3.3,2.5
38.0,2.0,3599,26/12/2014,Swansea,Aston Villa,1.0,0.0,H,1.0,0.0,H,R East,7.0,11.0,2.0,3.0,17.0,12.0,4.0,0.0,1.0,4.0,0.0,0.0,1.75,3.75,5.25
23.0,38.0,3610,29/12/2014,Liverpool,Swansea,4.0,1.0,H,1.0,0.0,H,A Marriner,21.0,11.0,11.0,4.0,8.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,1.7,4.0,5.5
32.0,38.0,3616,01/01/2015,QPR,Swansea,1.0,1.0,D,1.0,0.0,H,A Taylor,24.0,25.0,6.0,6.0,22.0,5.0,4.0,9.0,4.0,0.0,0.0,1.0,3.0,3.4,2.5
38.0,42.0,3627,10/01/2015,Swansea,West Ham,1.0,1.0,D,0.0,1.0,A,M Dean,19.0,11.0,3.0,5.0,9.0,7.0,4.0,5.0,0.0,1.0,0.0,0.0,2.25,3.5,3.4
38.0,13.0,3636,17/01/2015,Swansea,Chelsea,0.0,5.0,A,0.0,4.0,A,J Moss,11.0,21.0,0.0,11.0,9.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,4.2,1.55
35.0,38.0,3650,01/02/2015,Southampton,Swansea,0.0,1.0,A,0.0,0.0,D,M Oliver,15.0,6.0,6.0,1.0,11.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,1.6,4.0,6.5
38.0,37.0,3656,07/02/2015,Swansea,Sunderland,1.0,1.0,D,0.0,1.0,A,P Dowd,16.0,4.0,7.0,1.0,11.0,13.0,7.0,1.0,3.0,4.0,0.0,0.0,1.91,3.5,4.6
41.0,38.0,3670,11/02/2015,West Brom,Swansea,2.0,0.0,H,0.0,0.0,D,R Madley,11.0,10.0,4.0,3.0,11.0,12.0,5.0,4.0,2.0,1.0,0.0,0.0,2.55,3.25,3.1
38.0,26.0,3677,21/02/2015,Swansea,Man United,2.0,1.0,H,1.0,1.0,D,N Swarbrick,11.0,18.0,6.0,3.0,6.0,15.0,4.0,10.0,2.0,4.0,0.0,0.0,4.2,3.5,2.0
10.0,38.0,3681,28/02/2015,Burnley,Swansea,0.0,1.0,A,0.0,0.0,D,J Moss,13.0,8.0,6.0,2.0,14.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,2.63,3.3,2.9
39.0,38.0,3697,04/03/2015,Tottenham,Swansea,3.0,2.0,H,1.0,1.0,D,M Oliver,20.0,10.0,7.0,5.0,14.0,7.0,6.0,4.0,1.0,0.0,0.0,0.0,1.75,3.8,5.25
38.0,23.0,3709,16/03/2015,Swansea,Liverpool,0.0,1.0,A,0.0,0.0,D,R East,10.0,16.0,3.0,5.0,13.0,16.0,4.0,5.0,0.0,3.0,0.0,0.0,4.0,3.6,2.0
2.0,38.0,3710,21/03/2015,Aston Villa,Swansea,0.0,1.0,A,0.0,0.0,D,R Madley,12.0,9.0,3.0,6.0,13.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,2.5,3.25,2.8
38.0,19.0,3725,04/04/2015,Swansea,Hull,3.0,1.0,H,2.0,0.0,H,A Marriner,9.0,10.0,4.0,1.0,11.0,14.0,4.0,7.0,1.0,5.0,0.0,1.0,1.91,3.5,4.2
38.0,16.0,3734,11/04/2015,Swansea,Everton,1.0,1.0,D,0.0,1.0,A,M Oliver,11.0,12.0,3.0,8.0,18.0,12.0,3.0,6.0,3.0,3.0,0.0,0.0,2.5,3.3,3.1
22.0,38.0,3744,18/04/2015,Leicester,Swansea,2.0,0.0,H,1.0,0.0,H,L Probert,18.0,10.0,6.0,6.0,6.0,5.0,6.0,3.0,0.0,2.0,0.0,0.0,2.15,3.4,3.75
28.0,38.0,3751,25/04/2015,Newcastle,Swansea,2.0,3.0,A,1.0,1.0,D,N Swarbrick,12.0,11.0,4.0,6.0,14.0,9.0,9.0,6.0,1.0,2.0,0.0,0.0,2.45,3.25,3.25
38.0,36.0,3765,02/05/2015,Swansea,Stoke,2.0,0.0,H,0.0,0.0,D,C Pawson,16.0,9.0,4.0,3.0,9.0,18.0,6.0,2.0,1.0,2.0,0.0,1.0,2.3,3.4,3.4
1.0,38.0,3779,11/05/2015,Arsenal,Swansea,0.0,1.0,A,0.0,0.0,D,K Friend,23.0,8.0,9.0,3.0,7.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,1.3,6.0,11.0
38.0,25.0,3788,17/05/2015,Swansea,Man City,2.0,4.0,A,1.0,2.0,A,M Clattenburg,13.0,22.0,9.0,11.0,8.0,8.0,11.0,7.0,0.0,3.0,0.0,0.0,4.75,4.2,1.75
14.0,38.0,3794,24/05/2015,Crystal Palace,Swansea,1.0,0.0,H,0.0,0.0,D,C Pawson,13.0,5.0,7.0,2.0,22.0,13.0,7.0,3.0,3.0,0.0,0.0,0.0,2.25,3.6,3.3
10.0,38.0,4182,13/08/2016,Burnley,Swansea,0.0,1.0,A,0.0,0.0,D,J Moss,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25
38.0,19.0,4196,20/08/2016,Swansea,Hull,0.0,2.0,A,0.0,0.0,D,S Attwell,13.0,12.0,3.0,4.0,7.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,1.8,3.6,5.25
22.0,38.0,4206,27/08/2016,Leicester,Swansea,2.0,1.0,H,1.0,0.0,H,R East,13.0,9.0,6.0,3.0,14.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,1.73,3.6,5.25
38.0,13.0,4220,11/09/2016,Swansea,Chelsea,2.0,2.0,D,0.0,1.0,A,A Marriner,6.0,28.0,2.0,7.0,17.0,8.0,1.0,11.0,3.0,4.0,0.0,0.0,5.75,4.0,1.67
35.0,38.0,4229,18/09/2016,Southampton,Swansea,1.0,0.0,H,0.0,0.0,D,M Jones,19.0,9.0,6.0,3.0,14.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,1.7,3.8,5.75
38.0,25.0,4239,24/09/2016,Swansea,Man City,1.0,3.0,A,1.0,1.0,D,N Swarbrick,13.0,18.0,5.0,4.0,15.0,9.0,2.0,7.0,2.0,4.0,0.0,0.0,9.0,5.5,1.36
38.0,23.0,4245,01/10/2016,Swansea,Liverpool,1.0,2.0,A,1.0,0.0,H,M Oliver,8.0,18.0,3.0,6.0,11.0,9.0,3.0,10.0,2.0,2.0,0.0,0.0,8.0,4.75,1.45
1.0,38.0,4252,15/10/2016,Arsenal,Swansea,3.0,2.0,H,2.0,1.0,H,J Moss,16.0,13.0,6.0,6.0,7.0,10.0,5.0,6.0,0.0,1.0,1.0,0.0,1.29,6.5,11.0
38.0,40.0,4268,22/10/2016,Swansea,Watford,0.0,0.0,D,0.0,0.0,D,P Tierney,11.0,10.0,5.0,2.0,15.0,16.0,7.0,2.0,2.0,1.0,0.0,0.0,2.38,3.3,3.3
36.0,38.0,4281,31/10/2016,Stoke,Swansea,3.0,1.0,H,1.0,1.0,D,M Oliver,17.0,14.0,4.0,6.0,7.0,14.0,6.0,4.0,2.0,0.0,0.0,0.0,2.05,3.6,3.8
38.0,26.0,4291,06/11/2016,Swansea,Man United,1.0,3.0,A,0.0,3.0,A,N Swarbrick,6.0,9.0,1.0,3.0,9.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,1.73
16.0,38.0,4293,19/11/2016,Everton,Swansea,1.0,1.0,D,0.0,1.0,A,M Atkinson,14.0,5.0,6.0,3.0,13.0,12.0,10.0,3.0,4.0,2.0,0.0,0.0,1.6,4.33,6.0
38.0,14.0,4307,26/11/2016,Swansea,Crystal Palace,5.0,4.0,H,1.0,1.0,D,K Friend,18.0,12.0,9.0,4.0,12.0,24.0,10.0,6.0,4.0,5.0,0.0,0.0,2.63,3.4,2.88
39.0,38.0,4316,03/12/2016,Tottenham,Swansea,5.0,0.0,H,2.0,0.0,H,J Moss,28.0,1.0,15.0,0.0,11.0,17.0,5.0,0.0,0.0,4.0,0.0,0.0,1.36,5.5,9.0
38.0,37.0,4326,10/12/2016,Swansea,Sunderland,3.0,0.0,H,0.0,0.0,D,C Pawson,14.0,11.0,5.0,2.0,10.0,8.0,7.0,4.0,1.0,2.0,0.0,0.0,2.15,3.5,3.6
41.0,38.0,4340,14/12/2016,West Brom,Swansea,3.0,1.0,H,0.0,0.0,D,M Oliver,13.0,8.0,4.0,4.0,8.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,2.05,3.5,4.0
27.0,38.0,4343,17/12/2016,Middlesbrough,Swansea,3.0,0.0,H,2.0,0.0,H,N Swarbrick,10.0,14.0,4.0,2.0,10.0,11.0,3.0,8.0,1.0,0.0,0.0,0.0,2.1,3.4,4.0
38.0,42.0,4358,26/12/2016,Swansea,West Ham,1.0,4.0,A,0.0,1.0,A,A Marriner,14.0,14.0,7.0,7.0,10.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,2.63,3.2,2.8
38.0,7.0,4369,31/12/2016,Swansea,Bournemouth,0.0,3.0,A,0.0,2.0,A,K Friend,14.0,11.0,5.0,6.0,14.0,9.0,4.0,3.0,2.0,0.0,0.0,0.0,2.9,3.4,2.6
14.0,38.0,4379,03/01/2017,Crystal Palace,Swansea,1.0,2.0,A,0.0,1.0,A,P Tierney,7.0,11.0,3.0,4.0,13.0,14.0,4.0,5.0,2.0,1.0,0.0,0.0,1.75,3.5,4.75
38.0,1.0,4386,14/01/2017,Swansea,Arsenal,0.0,4.0,A,0.0,1.0,A,M Jones,12.0,14.0,3.0,6.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,7.0,4.75,1.5
23.0,38.0,4394,21/01/2017,Liverpool,Swansea,2.0,3.0,A,0.0,0.0,D,K Friend,16.0,6.0,5.0,3.0,7.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,1.22,7.0,15.0
38.0,35.0,4408,31/01/2017,Swansea,Southampton,2.0,1.0,H,1.0,0.0,H,R East,11.0,10.0,5.0,2.0,10.0,19.0,5.0,4.0,2.0,0.0,0.0,0.0,3.4,3.4,2.3
25.0,38.0,4421,05/02/2017,Man City,Swansea,2.0,1.0,H,1.0,0.0,H,M Dean,17.0,4.0,5.0,2.0,9.0,13.0,10.0,3.0,2.0,3.0,0.0,0.0,1.22,7.0,15.0
38.0,22.0,4430,12/02/2017,Swansea,Leicester,2.0,0.0,H,2.0,0.0,H,J Moss,10.0,9.0,4.0,1.0,7.0,14.0,7.0,3.0,2.0,2.0,0.0,0.0,2.4,3.3,3.25
13.0,38.0,4432,25/02/2017,Chelsea,Swansea,3.0,1.0,H,1.0,1.0,D,N Swarbrick,16.0,3.0,5.0,2.0,11.0,14.0,8.0,1.0,1.0,3.0,0.0,0.0,1.25,6.5,15.0
38.0,10.0,4444,04/03/2017,Swansea,Burnley,3.0,2.0,H,1.0,1.0,D,A Taylor,23.0,6.0,10.0,4.0,7.0,13.0,9.0,2.0,2.0,2.0,0.0,0.0,2.0,3.5,4.2
19.0,38.0,4453,11/03/2017,Hull,Swansea,2.0,1.0,H,0.0,0.0,D,A Marriner,15.0,11.0,7.0,3.0,14.0,5.0,2.0,7.0,3.0,1.0,0.0,0.0,2.55,3.3,3.0
7.0,38.0,4455,18/03/2017,Bournemouth,Swansea,2.0,0.0,H,1.0,0.0,H,M Dean,12.0,10.0,6.0,1.0,10.0,9.0,2.0,4.0,0.0,2.0,0.0,0.0,2.15,3.5,3.6
38.0,27.0,4474,02/04/2017,Swansea,Middlesbrough,0.0,0.0,D,0.0,0.0,D,R Madley,15.0,8.0,3.0,1.0,9.0,16.0,11.0,3.0,2.0,3.0,0.0,0.0,2.0,3.4,4.33
38.0,39.0,4484,05/04/2017,Swansea,Tottenham,1.0,3.0,A,1.0,0.0,H,J Moss,4.0,18.0,1.0,8.0,7.0,8.0,5.0,7.0,1.0,1.0,0.0,0.0,5.0,4.0,1.73
42.0,38.0,4491,08/04/2017,West Ham,Swansea,1.0,0.0,H,1.0,0.0,H,K Friend,14.0,4.0,6.0,1.0,12.0,12.0,4.0,3.0,5.0,1.0,0.0,0.0,2.1,3.6,3.7
40.0,38.0,4501,15/04/2017,Watford,Swansea,1.0,0.0,H,1.0,0.0,H,L Mason,15.0,13.0,7.0,4.0,8.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,2.4,3.3,2.9
38.0,36.0,4507,22/04/2017,Swansea,Stoke,2.0,0.0,H,1.0,0.0,H,M Oliver,10.0,9.0,6.0,3.0,5.0,14.0,11.0,4.0,2.0,2.0,0.0,0.0,2.2,3.4,3.6
26.0,38.0,4522,30/04/2017,Man United,Swansea,1.0,1.0,D,1.0,0.0,H,N Swarbrick,12.0,12.0,6.0,4.0,11.0,13.0,5.0,2.0,2.0,2.0,0.0,0.0,1.36,4.75,8.0
38.0,16.0,4532,06/05/2017,Swansea,Everton,1.0,0.0,H,1.0,0.0,H,M Atkinson,9.0,8.0,4.0,2.0,5.0,13.0,9.0,5.0,0.0,0.0,0.0,0.0,2.8,3.5,2.63
37.0,38.0,4543,13/05/2017,Sunderland,Swansea,0.0,2.0,A,0.0,2.0,A,A Marriner,13.0,3.0,4.0,3.0,13.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0,4.2,3.8,1.91
38.0,41.0,4560,21/05/2017,Swansea,West Brom,2.0,1.0,H,0.0,1.0,A,M Dean,12.0,16.0,2.0,5.0,8.0,10.0,7.0,4.0,1.0,1.0,0.0,0.0,2.1,3.5,3.75
32.0,38.0,2664,18/08/2012,QPR,Swansea,0.0,5.0,A,0.0,1.0,A,L Probert,20.0,12.0,11.0,8.0,11.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,2.0,3.4,3.8
38.0,42.0,2677,25/08/2012,Swansea,West Ham,3.0,0.0,H,2.0,0.0,H,M Atkinson,10.0,7.0,7.0,6.0,13.0,17.0,5.0,4.0,2.0,4.0,0.0,0.0,2.1,3.3,3.6
38.0,37.0,2682,01/09/2012,Swansea,Sunderland,2.0,2.0,D,1.0,2.0,A,R East,14.0,4.0,10.0,3.0,11.0,7.0,8.0,0.0,1.0,1.0,1.0,0.0,2.2,3.3,3.4
2.0,38.0,2691,15/09/2012,Aston Villa,Swansea,2.0,0.0,H,1.0,0.0,H,L Mason,17.0,10.0,13.0,5.0,11.0,4.0,11.0,5.0,3.0,1.0,0.0,0.0,2.38,3.25,3.1
38.0,16.0,2702,22/09/2012,Swansea,Everton,0.0,3.0,A,0.0,2.0,A,A Taylor,18.0,30.0,11.0,19.0,23.0,7.0,8.0,3.0,4.0,1.0,1.0,0.0,3.0,3.3,2.4
36.0,38.0,2716,29/09/2012,Stoke,Swansea,2.0,0.0,H,2.0,0.0,H,J Moss,10.0,8.0,5.0,0.0,10.0,8.0,6.0,8.0,1.0,1.0,0.0,0.0,1.91,3.4,4.2
38.0,33.0,2722,06/10/2012,Swansea,Reading,2.0,2.0,D,0.0,2.0,A,M Dean,25.0,8.0,16.0,6.0,8.0,11.0,11.0,3.0,1.0,3.0,0.0,0.0,1.91,3.6,4.0
38.0,43.0,2734,20/10/2012,Swansea,Wigan,2.0,1.0,H,0.0,0.0,D,M Jones,18.0,10.0,11.0,7.0,13.0,11.0,9.0,2.0,2.0,3.0,0.0,0.0,2.1,3.4,3.5
25.0,38.0,2742,27/10/2012,Man City,Swansea,1.0,0.0,H,0.0,0.0,D,M Atkinson,10.0,9.0,5.0,5.0,8.0,10.0,3.0,0.0,1.0,2.0,0.0,0.0,1.22,6.0,15.0
38.0,13.0,2754,03/11/2012,Swansea,Chelsea,1.0,1.0,D,0.0,0.0,D,K Friend,9.0,11.0,7.0,7.0,12.0,9.0,8.0,6.0,4.0,1.0,0.0,0.0,4.5,3.6,1.8
35.0,38.0,2764,10/11/2012,Southampton,Swansea,1.0,1.0,D,0.0,0.0,D,A Marriner,11.0,5.0,5.0,3.0,11.0,10.0,10.0,6.0,2.0,2.0,0.0,0.0,2.38,3.5,2.88
28.0,38.0,2773,17/11/2012,Newcastle,Swansea,1.0,2.0,A,0.0,0.0,D,P Dowd,27.0,15.0,10.0,9.0,7.0,7.0,5.0,4.0,1.0,3.0,0.0,0.0,1.91,3.6,4.0
38.0,23.0,2788,25/11/2012,Swansea,Liverpool,0.0,0.0,D,0.0,0.0,D,J Moss,17.0,21.0,8.0,14.0,6.0,10.0,7.0,6.0,1.0,0.0,0.0,0.0,3.4,3.5,2.1
38.0,41.0,2797,28/11/2012,Swansea,West Brom,3.0,1.0,H,3.0,1.0,H,L Mason,13.0,6.0,8.0,2.0,10.0,16.0,5.0,2.0,0.0,4.0,0.0,0.0,2.3,3.4,3.1
1.0,38.0,2800,01/12/2012,Arsenal,Swansea,0.0,2.0,A,0.0,0.0,D,M Clattenburg,10.0,12.0,8.0,10.0,11.0,9.0,8.0,5.0,1.0,0.0,0.0,0.0,1.44,4.5,7.0
38.0,29.0,2814,08/12/2012,Swansea,Norwich,3.0,4.0,A,0.0,3.0,A,H Webb,21.0,10.0,10.0,8.0,12.0,9.0,6.0,2.0,2.0,1.0,0.0,0.0,1.8,3.6,4.5
39.0,38.0,2827,16/12/2012,Tottenham,Swansea,1.0,0.0,H,0.0,0.0,D,M Dean,24.0,4.0,16.0,0.0,12.0,8.0,9.0,3.0,2.0,3.0,0.0,0.0,1.62,4.0,5.5
38.0,26.0,2839,23/12/2012,Swansea,Man United,1.0,1.0,D,1.0,1.0,D,M Oliver,14.0,19.0,10.0,16.0,11.0,16.0,3.0,6.0,2.0,4.0,0.0,0.0,5.0,4.0,1.67
33.0,38.0,2846,26/12/2012,Reading,Swansea,0.0,0.0,D,0.0,0.0,D,M Jones,3.0,10.0,2.0,4.0,14.0,17.0,6.0,4.0,2.0,1.0,0.0,0.0,2.9,3.4,2.38
17.0,38.0,2851,29/12/2012,Fulham,Swansea,1.0,2.0,A,0.0,1.0,A,A Marriner,22.0,10.0,13.0,9.0,14.0,12.0,9.0,8.0,2.0,1.0,0.0,0.0,2.1,3.4,3.5
38.0,2.0,2861,01/01/2013,Swansea,Aston Villa,2.0,2.0,D,1.0,1.0,D,M Halsey,23.0,8.0,13.0,6.0,7.0,15.0,3.0,2.0,0.0,4.0,0.0,0.0,1.57,4.0,6.0
16.0,38.0,2870,12/01/2013,Everton,Swansea,0.0,0.0,D,0.0,0.0,D,P Dowd,16.0,4.0,8.0,2.0,13.0,9.0,7.0,1.0,1.0,4.0,0.0,0.0,1.57,4.2,6.5
38.0,36.0,2883,19/01/2013,Swansea,Stoke,3.0,1.0,H,0.0,0.0,D,M Dean,12.0,7.0,6.0,2.0,11.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,2.2,3.4,3.6
37.0,38.0,2894,29/01/2013,Sunderland,Swansea,0.0,0.0,D,0.0,0.0,D,A Marriner,4.0,18.0,2.0,8.0,11.0,11.0,3.0,4.0,1.0,2.0,0.0,0.0,2.5,3.4,3.0
42.0,38.0,2907,02/02/2013,West Ham,Swansea,1.0,0.0,H,0.0,0.0,D,L Probert,18.0,11.0,9.0,7.0,7.0,9.0,5.0,3.0,1.0,1.0,0.0,0.0,2.4,3.4,3.2
38.0,32.0,2916,09/02/2013,Swansea,QPR,4.0,1.0,H,2.0,0.0,H,N Swarbrick,13.0,14.0,12.0,8.0,10.0,9.0,5.0,2.0,1.0,3.0,0.0,0.0,1.83,3.75,4.75
23.0,38.0,2921,17/02/2013,Liverpool,Swansea,5.0,0.0,H,1.0,0.0,H,H Webb,33.0,4.0,18.0,3.0,6.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0,1.57,4.4,6.0
38.0,28.0,2937,02/03/2013,Swansea,Newcastle,1.0,0.0,H,0.0,0.0,D,C Pawson,10.0,14.0,7.0,7.0,9.0,17.0,7.0,7.0,0.0,2.0,0.0,0.0,2.1,3.6,3.75
