homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
8.0,39.0,6849,13/08/2023,Brentford,Tottenham,2.0,2.0,D,2.0,2.0,D,R Jones,11.0,18.0,6.0,6.0,12.0,13.0,3.0,6.0,1.0,4.0,0.0,0.0,2.75,3.4,2.45
39.0,26.0,6856,19/08/2023,Tottenham,Man United,2.0,0.0,H,0.0,0.0,D,M Oliver,17.0,22.0,6.0,6.0,9.0,8.0,5.0,6.0,1.0,3.0,0.0,0.0,2.8,3.6,2.38
7.0,39.0,6862,26/08/2023,Bournemouth,Tottenham,0.0,2.0,A,0.0,1.0,A,T Robinson,11.0,17.0,3.0,6.0,18.0,11.0,6.0,2.0,1.0,3.0,0.0,0.0,3.8,3.75,1.91
10.0,39.0,6874,02/09/2023,Burnley,Tottenham,2.0,5.0,A,1.0,2.0,A,D England,16.0,20.0,4.0,10.0,15.0,9.0,7.0,4.0,4.0,3.0,0.0,0.0,3.6,4.0,1.85
39.0,34.0,6885,16/09/2023,Tottenham,Sheffield United,2.0,1.0,H,0.0,0.0,D,P Bankes,28.0,7.0,10.0,5.0,13.0,14.0,15.0,2.0,6.0,5.0,0.0,1.0,1.29,5.5,11.0
1.0,39.0,6896,24/09/2023,Arsenal,Tottenham,2.0,2.0,D,1.0,1.0,D,R Jones,13.0,13.0,6.0,5.0,12.0,19.0,11.0,4.0,3.0,4.0,0.0,0.0,1.67,4.33,4.33
39.0,23.0,6908,30/09/2023,Tottenham,Liverpool,2.0,1.0,H,1.0,1.0,D,S Hooper,24.0,12.0,8.0,4.0,11.0,17.0,12.0,5.0,5.0,4.0,0.0,2.0,2.9,4.0,2.15
24.0,39.0,6912,07/10/2023,Luton,Tottenham,0.0,1.0,A,0.0,0.0,D,J Brooks,12.0,15.0,2.0,4.0,16.0,7.0,5.0,6.0,2.0,1.0,0.0,1.0,6.0,4.75,1.45
39.0,17.0,6931,23/10/2023,Tottenham,Fulham,2.0,0.0,H,1.0,0.0,H,A Taylor,15.0,10.0,5.0,3.0,10.0,14.0,3.0,5.0,2.0,0.0,0.0,0.0,1.5,4.5,6.0
14.0,39.0,6932,27/10/2023,Crystal Palace,Tottenham,1.0,2.0,A,0.0,0.0,D,A Madley,13.0,10.0,3.0,1.0,19.0,11.0,11.0,2.0,2.0,1.0,0.0,0.0,4.5,3.75,1.75
39.0,13.0,6951,06/11/2023,Tottenham,Chelsea,1.0,4.0,A,1.0,1.0,D,M Oliver,8.0,17.0,5.0,8.0,12.0,21.0,1.0,6.0,1.0,5.0,2.0,0.0,2.0,3.75,3.5
44.0,39.0,6952,11/11/2023,Wolves,Tottenham,2.0,1.0,H,0.0,1.0,A,T Robinson,17.0,6.0,4.0,2.0,19.0,15.0,11.0,3.0,4.0,3.0,0.0,0.0,3.1,3.75,2.2
39.0,2.0,6969,26/11/2023,Tottenham,Aston Villa,1.0,2.0,A,1.0,1.0,D,R Jones,18.0,15.0,8.0,5.0,11.0,13.0,9.0,3.0,0.0,4.0,0.0,0.0,2.3,3.8,2.8
25.0,39.0,6981,03/12/2023,Man City,Tottenham,3.0,3.0,D,2.0,1.0,H,S Hooper,18.0,8.0,4.0,4.0,14.0,14.0,10.0,8.0,4.0,4.0,0.0,0.0,1.29,6.0,9.0
39.0,42.0,6991,07/12/2023,Tottenham,West Ham,1.0,2.0,A,1.0,0.0,H,M Salisbury,23.0,11.0,7.0,5.0,11.0,12.0,8.0,4.0,3.0,3.0,0.0,0.0,1.75,4.2,4.2
39.0,28.0,7001,10/12/2023,Tottenham,Newcastle,4.0,1.0,H,2.0,0.0,H,C Kavanagh,23.0,9.0,12.0,3.0,10.0,12.0,3.0,6.0,1.0,3.0,0.0,0.0,2.15,3.8,3.1
