homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
40.0,2.0,6088,14/08/2021,Watford,Aston Villa,3.0,2.0,H,2.0,0.0,H,M Dean,13.0,11.0,7.0,2.0,18.0,13.0,2.0,4.0,3.0,1.0,0.0,0.0,3.1,3.2,2.37
9.0,40.0,6097,21/08/2021,Brighton,Watford,2.0,0.0,H,2.0,0.0,H,A Taylor,13.0,10.0,3.0,1.0,11.0,6.0,7.0,2.0,4.0,0.0,0.0,0.0,1.7,3.5,5.75
39.0,40.0,6110,29/08/2021,Tottenham,Watford,1.0,0.0,H,1.0,0.0,H,A Marriner,15.0,9.0,8.0,2.0,8.0,14.0,10.0,3.0,3.0,3.0,0.0,0.0,1.36,4.75,9.0
40.0,44.0,6118,11/09/2021,Watford,Wolves,0.0,2.0,A,0.0,0.0,D,P Bankes,6.0,14.0,2.0,5.0,15.0,13.0,6.0,8.0,3.0,3.0,0.0,0.0,3.4,3.2,2.25
29.0,40.0,6127,18/09/2021,Norwich,Watford,1.0,3.0,A,1.0,1.0,D,R Jones,12.0,12.0,5.0,8.0,10.0,14.0,4.0,8.0,1.0,1.0,0.0,0.0,2.15,3.3,3.5
40.0,28.0,6137,25/09/2021,Watford,Newcastle,1.0,1.0,D,0.0,1.0,A,J Gillett,15.0,20.0,4.0,6.0,19.0,12.0,5.0,6.0,4.0,3.0,0.0,0.0,2.2,3.4,3.3
21.0,40.0,6145,02/10/2021,Leeds,Watford,1.0,0.0,H,1.0,0.0,H,S Hooper,20.0,5.0,4.0,1.0,10.0,16.0,6.0,3.0,0.0,3.0,0.0,0.0,1.7,4.0,4.75
40.0,23.0,6152,16/10/2021,Watford,Liverpool,0.0,5.0,A,0.0,2.0,A,J Moss,6.0,19.0,2.0,8.0,4.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,8.5,5.5,1.33
16.0,40.0,6165,23/10/2021,Everton,Watford,2.0,5.0,A,1.0,1.0,D,G Scott,15.0,20.0,4.0,8.0,9.0,13.0,3.0,5.0,4.0,3.0,0.0,0.0,1.65,3.8,5.5
40.0,35.0,6177,30/10/2021,Watford,Southampton,0.0,1.0,A,0.0,1.0,A,P Bankes,10.0,12.0,4.0,1.0,16.0,6.0,5.0,8.0,2.0,2.0,0.0,0.0,3.2,3.3,2.3
1.0,40.0,6188,07/11/2021,Arsenal,Watford,1.0,0.0,H,0.0,0.0,D,K Friend,14.0,7.0,6.0,1.0,6.0,19.0,4.0,2.0,4.0,2.0,0.0,1.0,1.36,4.75,8.5
40.0,26.0,6197,20/11/2021,Watford,Man United,4.0,1.0,H,2.0,0.0,H,J Moss,20.0,9.0,7.0,3.0,7.0,5.0,9.0,3.0,2.0,1.0,0.0,1.0,6.5,4.75,1.45
22.0,40.0,6208,28/11/2021,Leicester,Watford,4.0,2.0,H,3.0,1.0,H,A Madley,18.0,16.0,8.0,5.0,5.0,19.0,8.0,6.0,0.0,0.0,0.0,0.0,1.61,4.0,5.5
40.0,13.0,6214,01/12/2021,Watford,Chelsea,1.0,2.0,A,1.0,1.0,D,D Coote,13.0,8.0,6.0,4.0,18.0,16.0,6.0,0.0,4.0,3.0,0.0,0.0,10.0,5.25,1.3
40.0,25.0,6225,04/12/2021,Watford,Man City,1.0,3.0,A,0.0,2.0,A,S Hooper,11.0,26.0,4.0,13.0,10.0,7.0,5.0,11.0,3.0,0.0,0.0,0.0,12.0,7.0,1.2
8.0,40.0,6231,10/12/2021,Brentford,Watford,2.0,1.0,H,0.0,1.0,A,M Oliver,14.0,6.0,5.0,2.0,12.0,18.0,8.0,2.0,4.0,0.0,0.0,0.0,2.25,3.3,3.3
40.0,42.0,6260,28/12/2021,Watford,West Ham,1.0,4.0,A,1.0,2.0,A,D England,14.0,13.0,5.0,6.0,12.0,12.0,4.0,5.0,0.0,1.0,0.0,0.0,3.4,3.6,2.1
40.0,39.0,6266,01/01/2022,Watford,Tottenham,0.0,1.0,A,0.0,0.0,D,R Jones,6.0,21.0,4.0,9.0,6.0,9.0,3.0,7.0,0.0,1.0,0.0,0.0,5.0,4.2,1.61
28.0,40.0,6277,15/01/2022,Newcastle,Watford,1.0,1.0,D,0.0,0.0,D,P Tierney,12.0,18.0,1.0,5.0,13.0,13.0,4.0,6.0,3.0,2.0,0.0,0.0,2.0,3.6,3.6
40.0,29.0,6286,21/01/2022,Watford,Norwich,0.0,3.0,A,0.0,0.0,D,M Dean,15.0,7.0,4.0,2.0,16.0,11.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,3.5,3.75
10.0,40.0,6296,05/02/2022,Burnley,Watford,0.0,0.0,D,0.0,0.0,D,C Pawson,13.0,11.0,2.0,5.0,16.0,9.0,4.0,7.0,1.0,2.0,0.0,0.0,2.2,3.25,3.5
