homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
41.0,37.0,3426,16/08/2014,West Brom,Sunderland,2.0,2.0,D,1.0,1.0,D,N Swarbrick,10.0,7.0,5.0,2.0,18.0,9.0,6.0,3.0,3.0,1.0,0.0,0.0,2.25,3.4,3.5
35.0,41.0,3435,23/08/2014,Southampton,West Brom,0.0,0.0,D,0.0,0.0,D,R East,8.0,8.0,2.0,2.0,14.0,15.0,1.0,5.0,1.0,2.0,0.0,0.0,1.85,3.7,4.75
38.0,41.0,3446,30/08/2014,Swansea,West Brom,3.0,0.0,H,2.0,0.0,H,P Tierney,15.0,16.0,8.0,2.0,10.0,8.0,0.0,7.0,1.0,2.0,0.0,0.0,1.85,3.6,4.75
41.0,16.0,3458,13/09/2014,West Brom,Everton,0.0,2.0,A,0.0,1.0,A,A Taylor,11.0,11.0,1.0,4.0,12.0,8.0,9.0,1.0,2.0,3.0,0.0,0.0,3.5,3.5,2.2
39.0,41.0,3470,21/09/2014,Tottenham,West Brom,0.0,1.0,A,0.0,0.0,D,K Friend,7.0,10.0,1.0,4.0,12.0,7.0,9.0,7.0,2.0,2.0,0.0,0.0,1.53,4.33,7.0
41.0,10.0,3479,28/09/2014,West Brom,Burnley,4.0,0.0,H,2.0,0.0,H,J Moss,20.0,10.0,6.0,2.0,7.0,9.0,10.0,2.0,1.0,2.0,0.0,0.0,2.0,3.5,4.2
23.0,41.0,3484,04/10/2014,Liverpool,West Brom,2.0,1.0,H,1.0,0.0,H,M Oliver,19.0,8.0,7.0,4.0,12.0,15.0,5.0,5.0,2.0,2.0,0.0,0.0,1.44,5.0,7.5
41.0,26.0,3500,20/10/2014,West Brom,Man United,2.0,2.0,D,1.0,0.0,H,M Dean,8.0,22.0,2.0,7.0,6.0,8.0,0.0,11.0,1.0,2.0,0.0,0.0,5.0,4.0,1.75
41.0,14.0,3505,25/10/2014,West Brom,Crystal Palace,2.0,2.0,D,0.0,2.0,A,M Clattenburg,17.0,8.0,4.0,6.0,14.0,8.0,6.0,3.0,3.0,1.0,0.0,0.0,1.91,3.6,4.5
22.0,41.0,3515,01/11/2014,Leicester,West Brom,0.0,1.0,A,0.0,0.0,D,S Attwell,14.0,8.0,5.0,3.0,5.0,12.0,8.0,3.0,0.0,1.0,0.0,0.0,2.3,3.5,3.3
41.0,28.0,3530,09/11/2014,West Brom,Newcastle,0.0,2.0,A,0.0,1.0,A,C Pawson,10.0,8.0,2.0,3.0,12.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,2.3,3.5,3.3
13.0,41.0,3532,22/11/2014,Chelsea,West Brom,2.0,0.0,H,2.0,0.0,H,L Mason,21.0,5.0,8.0,1.0,7.0,9.0,15.0,0.0,1.0,0.0,0.0,1.0,1.25,6.5,15.0
41.0,1.0,3547,29/11/2014,West Brom,Arsenal,0.0,1.0,A,0.0,0.0,D,C Foy,9.0,17.0,1.0,5.0,9.0,10.0,4.0,4.0,2.0,1.0,0.0,0.0,4.5,3.8,1.85
41.0,42.0,3556,02/12/2014,West Brom,West Ham,1.0,2.0,A,1.0,2.0,A,M Jones,23.0,11.0,5.0,6.0,11.0,17.0,7.0,3.0,2.0,1.0,0.0,0.0,2.5,3.4,3.0
19.0,41.0,3561,06/12/2014,Hull,West Brom,0.0,0.0,D,0.0,0.0,D,M Oliver,12.0,6.0,2.0,3.0,10.0,16.0,3.0,2.0,1.0,1.0,0.0,0.0,2.45,3.3,3.2
41.0,2.0,3577,13/12/2014,West Brom,Aston Villa,1.0,0.0,H,0.0,0.0,D,M Dean,13.0,7.0,5.0,2.0,17.0,12.0,4.0,2.0,4.0,2.0,0.0,1.0,2.15,3.4,3.8
32.0,41.0,3584,20/12/2014,QPR,West Brom,3.0,2.0,H,1.0,2.0,A,C Pawson,17.0,16.0,7.0,6.0,16.0,8.0,5.0,11.0,1.0,0.0,0.0,0.0,2.45,3.3,3.2
