homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
16.0,43.0,764,11/08/2007,Everton,Wigan,2.0,1.0,H,1.0,0.0,H,M Clattenburg,12.0,14.0,8.0,4.0,8.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,1.66,3.4,5.5
43.0,27.0,777,15/08/2007,Wigan,Middlesbrough,1.0,0.0,H,0.0,0.0,D,S Tanner,14.0,5.0,5.0,1.0,8.0,20.0,5.0,3.0,1.0,3.0,0.0,0.0,2.3,3.25,3.0
43.0,37.0,784,18/08/2007,Wigan,Sunderland,3.0,0.0,H,1.0,0.0,H,M Riley,9.0,9.0,4.0,6.0,8.0,17.0,5.0,9.0,0.0,2.0,0.0,0.0,2.2,3.25,3.2
42.0,43.0,795,25/08/2007,West Ham,Wigan,1.0,1.0,D,0.0,0.0,D,A Marriner,13.0,12.0,4.0,3.0,11.0,12.0,6.0,1.0,1.0,2.0,0.0,0.0,1.9,3.25,4.0
28.0,43.0,803,01/09/2007,Newcastle,Wigan,1.0,0.0,H,0.0,0.0,D,S Bennett,20.0,7.0,8.0,6.0,15.0,18.0,9.0,1.0,2.0,4.0,0.0,1.0,1.72,3.5,4.75
43.0,17.0,815,15/09/2007,Wigan,Fulham,1.0,1.0,D,0.0,1.0,A,R Styles,14.0,10.0,4.0,5.0,8.0,9.0,9.0,4.0,1.0,0.0,0.0,0.0,2.1,3.25,3.6
33.0,43.0,822,22/09/2007,Reading,Wigan,2.0,1.0,H,1.0,0.0,H,K Stroud,15.0,9.0,7.0,5.0,17.0,13.0,6.0,7.0,3.0,2.0,0.0,0.0,2.1,3.2,3.6
43.0,23.0,835,29/09/2007,Wigan,Liverpool,0.0,1.0,A,0.0,0.0,D,M Clattenburg,9.0,14.0,3.0,10.0,11.0,10.0,5.0,6.0,2.0,1.0,0.0,0.0,6.5,3.8,1.57
26.0,43.0,839,06/10/2007,Man United,Wigan,4.0,0.0,H,0.0,0.0,D,M Riley,17.0,6.0,12.0,2.0,12.0,6.0,12.0,2.0,1.0,1.0,0.0,0.0,1.16,6.5,21.0
43.0,31.0,855,20/10/2007,Wigan,Portsmouth,0.0,2.0,A,0.0,0.0,D,P Walton,7.0,15.0,0.0,8.0,9.0,9.0,3.0,2.0,2.0,3.0,0.0,0.0,3.1,3.25,2.37
3.0,43.0,858,27/10/2007,Birmingham,Wigan,3.0,2.0,H,1.0,1.0,D,S Tanner,16.0,8.0,10.0,5.0,11.0,12.0,6.0,5.0,0.0,1.0,0.0,0.0,2.1,3.3,3.6
43.0,13.0,875,03/11/2007,Wigan,Chelsea,0.0,2.0,A,0.0,2.0,A,S Bennett,10.0,13.0,3.0,7.0,16.0,9.0,4.0,3.0,2.0,1.0,0.0,0.0,9.0,4.33,1.4
39.0,43.0,886,11/11/2007,Tottenham,Wigan,4.0,0.0,H,3.0,0.0,H,H Webb,19.0,6.0,8.0,2.0,8.0,16.0,5.0,2.0,0.0,2.0,0.0,0.0,1.44,4.2,8.0
1.0,43.0,888,24/11/2007,Arsenal,Wigan,2.0,0.0,H,0.0,0.0,D,P Walton,13.0,7.0,6.0,2.0,9.0,17.0,7.0,3.0,1.0,4.0,0.0,0.0,1.16,7.0,17.0
43.0,25.0,905,01/12/2007,Wigan,Man City,1.0,1.0,D,1.0,1.0,D,M Riley,5.0,4.0,4.0,1.0,13.0,10.0,2.0,4.0,2.0,2.0,1.0,0.0,3.0,3.25,2.4
6.0,43.0,917,09/12/2007,Bolton,Wigan,4.0,1.0,H,2.0,1.0,H,M Atkinson,8.0,11.0,6.0,7.0,13.0,11.0,5.0,11.0,2.0,1.0,0.0,0.0,2.0,3.4,3.8
43.0,4.0,927,15/12/2007,Wigan,Blackburn,5.0,3.0,H,3.0,1.0,H,M Clattenburg,9.0,9.0,7.0,5.0,17.0,24.0,6.0,4.0,4.0,4.0,0.0,1.0,3.25,3.25,2.3
17.0,43.0,933,22/12/2007,Fulham,Wigan,1.0,1.0,D,0.0,0.0,D,A Wiley,9.0,10.0,3.0,4.0,15.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,2.1,3.3,3.6
43.0,28.0,948,26/12/2007,Wigan,Newcastle,1.0,0.0,H,0.0,0.0,D,M Dean,8.0,7.0,6.0,6.0,13.0,22.0,3.0,2.0,1.0,4.0,0.0,0.0,2.7,3.3,2.6
43.0,2.0,957,29/12/2007,Wigan,Aston Villa,1.0,2.0,A,1.0,0.0,H,H Webb,3.0,5.0,3.0,4.0,18.0,9.0,6.0,5.0,1.0,1.0,0.0,0.0,3.25,3.3,2.25
