id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,Franz-Kremer-Allee 1 Köln 50937,http://www.fc-koeln.de,1948.0,Red / White,RheinEnergieSTADION,2022-02-25T16:49:46Z
2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,Horrenberger Straße 58 Zuzenhausen 74939,http://www.achtzehn99.de,1921.0,Blue / White,PreZero Arena,2022-02-25T16:49:58Z
3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,Bismarckstr. 122-124 Leverkusen 51373,http://www.bayer04.de,1904.0,Red / White / Black,BayArena,2022-02-25T16:43:07Z
4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,Rheinlanddamm 207-209 Dortmund 44137,http://www.bvb.de,1909.0,Black / Yellow,Signal Iduna Park,2022-02-25T16:50:16Z
5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,Säbenerstr. 51 München 81547,http://www.fcbayern.de,1900.0,Red / White / Blue,Allianz Arena,2024-07-09T17:26:37Z
6,FC Schalke 04,Schalke,S04,https://crests.football-data.org/6.png,Ernst-Kuzorra-Weg 1 Gelsenkirchen 45891,http://www.schalke04.de,1904.0,Blue / White,Veltins-Arena,2022-11-21T15:12:51Z
7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,Sylvesterallee 7 Hamburg 22525,http://www.hsv.de,1887.0,White / Red / Blue,Volksparkstadion,2023-02-28T07:57:55Z
8,Hannover 96,Hannover,H96,https://crests.football-data.org/8.png,Robert-Enke-Straße 1 Hannover 30169,http://www.hannover96.de,1896.0,Red / Black,HDI-Arena,2023-02-28T07:58:51Z
9,Hertha BSC,Hertha BSC,BSC,https://crests.football-data.org/9.png,"Hanns-Braun-Straße, Friesenhaus II Berlin 14053",http://www.herthabsc.de,1892.0,Blue / White,Olympiastadion Berlin,2023-02-28T07:58:59Z
10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,Mercedesstraße 109 Stuttgart 70372,http://www.vfb.de,1893.0,White / Red,Mercedes-Benz Arena,2023-02-28T07:59:06Z
11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,In den Allerwiesen 1 Wolfsburg 38446,http://www.vfl-wolfsburg.de,1945.0,Green / White,Volkswagen Arena,2024-07-29T17:13:21Z
12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,Franz-Böhmert-Str. 1c Bremen 28205,http://www.werder.de,1899.0,Green / White,Weserstadion,2024-07-29T17:13:29Z
13,1. FC Kaiserslautern,Kaiserslautern,FCK,https://crests.football-data.org/13.png,Fritz-Walter-Straße 1 Kaiserslautern 67663,http://www.fck.de,1900.0,Red / White,Fritz-Walter-Stadion,2022-07-12T12:06:51Z
14,1. FC Nürnberg,Nürnberg,FCN,https://crests.football-data.org/14.png,Valznerweiherstraße 200 Nürnberg 90480,http://www.fcn.de,1900.0,Red / White,Max-Morlock-Stadion,2023-02-28T07:59:27Z
15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,http://www.mainz05.de,1905.0,Red / White,Opel Arena,2023-02-28T07:59:34Z
16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,Donauwörther Straße 170 Augsburg 86154,http://www.fcaugsburg.de,1907.0,Red / Green / White,WWK Arena,2023-02-28T07:59:40Z
17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,Schwarzwaldstraße 193 Freiburg 79117,http://www.scfreiburg.com,1912.0,Red / White,Schwarzwald-Stadion,2024-07-29T17:13:41Z
18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,http://www.borussia.de,1900.0,Black / White / Green,Stadion im Borussia-Park,2023-02-28T07:59:45Z
19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,Mörfelder Landstraße 362 Frankfurt am Main 60528,http://www.eintracht.de,1899.0,Red / Black,Deutsche Bank Park,2024-07-29T17:13:52Z
20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,Auf dem Heiligengeistfeld Hamburg 20359,http://www.fcstpauli.de,1910.0,Brown / White,Millerntor-Stadion,2022-07-12T12:08:57Z
